dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000052,25.771774,0.000588,0.058824,2.941176,147.058824,6.283126
0.020000,0.000044,25.771774,0.000596,0.000404,-2.920981,-293.107894,6.283135
0.020000,0.000031,25.771774,0.000610,0.000673,0.013444,146.721253,6.283150
0.020000,0.000012,25.771774,0.000629,0.000941,0.013414,-0.001480,6.283172
0.020000,0.002694,25.771774,0.003310,0.134086,6.657228,332.190691,0.000014
0.020000,0.009135,25.771774,0.009751,0.322055,9.398445,137.060878,0.000048
0.020000,0.016747,25.771775,0.017364,0.380613,2.927922,-323.526156,0.000088
0.020000,0.025530,25.771776,0.026147,0.439173,2.927999,0.003850,0.000133
0.020000,0.035485,25.771777,0.036102,0.497735,2.928088,0.004440,0.000185
0.020000,0.046611,25.771780,0.047228,0.556298,2.928189,0.005031,0.000243
0.020000,0.058908,25.771783,0.059525,0.614865,2.928301,0.005627,0.000306
0.020000,0.072377,25.771788,0.072994,0.673433,2.928426,0.006216,0.000376
0.020000,0.087017,25.771794,0.087634,0.732004,2.928562,0.006806,0.000451
0.020000,0.102829,25.771801,0.103445,0.790578,2.928710,0.007406,0.000532
0.020000,0.119812,25.771811,0.120428,0.849156,2.928870,0.007998,0.000619
0.020000,0.137966,25.771823,0.138583,0.907737,2.929041,0.008568,0.000711
0.020000,0.157293,25.771838,0.157910,0.966321,2.929225,0.009199,0.000808
0.020000,0.177791,25.771856,0.178408,1.024910,2.929420,0.009758,0.000911
0.020000,0.199461,25.771876,0.200078,1.083502,2.929627,0.010357,0.001019
0.020000,0.222303,25.771901,0.222920,1.142099,2.929847,0.010963,0.001133
0.020000,0.246317,25.771930,0.246934,1.200701,2.930078,0.011545,0.001251
0.020000,0.271503,25.771963,0.272120,1.259307,2.930320,0.012139,0.001374
0.020000,0.297862,25.772001,0.298478,1.317919,2.930575,0.012735,0.001503
0.020000,0.325392,25.772044,0.326009,1.376535,2.930841,0.013300,0.001636
0.020000,0.354095,25.772093,0.354712,1.435158,2.931120,0.013935,0.001773
0.020000,0.383971,25.772148,0.384588,1.493786,2.931410,0.014516,0.001915
0.020000,0.415019,25.772210,0.415636,1.552420,2.931711,0.015072,0.002062
0.020000,0.447240,25.772279,0.447858,1.611061,2.932026,0.015708,0.002212
0.020000,0.480635,25.772355,0.481252,1.669708,2.932351,0.016294,0.002367
0.020000,0.515202,25.772440,0.515819,1.728361,2.932689,0.016866,0.002525
0.020000,0.550942,25.772533,0.551559,1.787022,2.933038,0.017461,0.002687
0.020000,0.587856,25.772635,0.588473,1.845690,2.933399,0.018059,0.002853
0.020000,0.625943,25.772747,0.626561,1.904366,2.933772,0.018658,0.003022
0.020000,0.665204,25.772869,0.665822,1.963049,2.934158,0.019258,0.003195
0.020000,0.705052,25.773000,0.705670,1.992439,1.469492,-73.233270,0.003367
0.020000,0.744902,25.773137,0.745521,1.992530,0.004562,-73.246496,0.003538
0.020000,0.784755,25.773282,0.785373,1.992621,0.004564,0.000086,0.003707
0.020000,0.824609,25.773433,0.825228,1.992712,0.004564,0.000003,0.003873
0.020000,0.864464,25.773590,0.865084,1.992804,0.004562,-0.000095,0.004038
0.020000,0.904322,25.773755,0.904942,1.992895,0.004564,0.000095,0.004200
0.020000,0.944181,25.773925,0.944801,1.992986,0.004564,0.000002,0.004361
0.020000,0.984042,25.774102,0.984663,1.993077,0.004562,-0.000103,0.004519
0.020000,1.023905,25.774285,1.024526,1.993169,0.004564,0.000103,0.004675
0.020000,1.063770,25.774475,1.064391,1.993260,0.004564,0.000002,0.004829
0.020000,1.103637,25.774670,1.104258,1.993351,0.004562,-0.000110,0.004981
0.020000,1.143505,25.774872,1.144127,1.993443,0.004564,0.000109,0.005131
0.020000,1.183375,25.775079,1.183998,1.993534,0.004564,0.000001,0.005279
0.020000,1.223247,25.775293,1.223870,1.993625,0.004562,-0.000116,0.005424
0.020000,1.263121,25.775512,1.263745,1.993716,0.004564,0.000114,0.005568
