dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,24.896774,0.000588,0.058824,2.941176,147.058824,6.283126
0.020000,0.000000,24.896774,0.002353,0.117647,2.941176,0.000000,6.283135
0.020000,0.000000,24.896774,0.005294,0.176471,2.941176,0.000000,6.283150
0.020000,0.000000,24.896774,0.009412,0.235294,2.941176,-0.000000,6.283172
0.020000,0.002706,24.896774,0.014706,0.294118,2.941176,0.000000,0.000014
0.020000,0.009176,24.896774,0.021176,0.352941,2.941176,0.000000,0.000048
0.020000,0.016824,24.896775,0.028824,0.411765,2.941176,-0.000000,0.000088
0.020000,0.025647,24.896776,0.037647,0.470588,2.941176,0.000000,0.000133
0.020000,0.035647,24.896777,0.047647,0.529412,2.941176,0.000000,0.000185
0.020000,0.046824,24.896780,0.058824,0.588235,2.941176,0.000000,0.000243
0.020000,0.059176,24.896783,0.071176,0.647059,2.941176,0.000000,0.000306
0.020000,0.072706,24.896788,0.084706,0.705882,2.941176,0.000000,0.000376
0.020000,0.087412,24.896794,0.099412,0.764706,2.941176,-0.000000,0.000451
0.020000,0.103294,24.896802,0.115294,0.823529,2.941176,0.000000,0.000532
0.020000,0.120353,24.896811,0.132353,0.882353,2.941176,0.000000,0.000619
0.020000,0.138588,24.896824,0.150588,0.941176,2.941176,0.000000,0.000711
0.020000,0.158000,24.896838,0.170000,1.000000,2.941176,0.000000,0.000808
0.020000,0.178588,24.896856,0.190588,1.058824,2.941176,0.000000,0.000911
0.020000,0.200353,24.896877,0.212353,1.117647,2.941176,0.000000,0.001019
0.020000,0.223294,24.896902,0.235294,1.176471,2.941176,0.000000,0.001133
0.020000,0.247412,24.896930,0.259412,1.235294,2.941176,0.000000,0.001251
0.020000,0.272706,24.896964,0.284706,1.294118,2.941176,0.000000,0.001374
0.020000,0.299176,24.897002,0.311176,1.352941,2.941176,0.000000,0.001503
0.020000,0.326823,24.897045,0.338824,1.411765,2.941176,0.000000,0.001636
0.020000,0.355647,24.897094,0.367647,1.470588,2.941176,0.000000,0.001773
0.020000,0.385647,24.897150,0.397647,1.529412,2.941176,-0.000000,0.001915
0.020000,0.416823,24.897212,0.428824,1.588235,2.941176,0.000000,0.002062
0.020000,0.449176,24.897281,0.461176,1.647059,2.941176,0.000000,0.002212
0.020000,0.482705,24.897357,0.494706,1.705882,2.941176,0.000000,0.002367
0.020000,0.517411,24.897442,0.529412,1.764706,2.941176,0.000000,0.002525
0.020000,0.553293,24.897536,0.565294,1.823529,2.941176,0.000000,0.002687
0.020000,0.590352,24.897639,0.602353,1.882353,2.941176,0.000000,0.002853
0.020000,0.628587,24.897751,0.640588,1.941176,2.941176,0.000000,0.003022
0.020000,0.667999,24.897873,0.680000,2.000000,2.941176,0.000000,0.003195
0.020000,0.707999,24.898005,0.720000,2.000000,0.000000,-147.058824,0.003367
0.020000,0.747998,24.898143,0.760000,2.000000,0.000000,0.000000,0.003538
0.020000,0.787998,24.898288,0.800000,2.000000,0.000000,0.000000,0.003707
0.020000,0.827998,24.898439,0.840000,2.000000,0.000000,0.000000,0.003873
0.020000,0.867997,24.898597,0.880000,2.000000,0.000000,0.000000,0.004038
0.020000,0.907997,24.898762,0.920000,2.000000,0.000000,0.000000,0.004200
0.020000,0.947997,24.898933,0.960000,2.000000,0.000000,0.000000,0.004361
0.020000,0.987996,24.899111,1.000000,2.000000,0.000000,0.000000,0.004519
0.020000,1.027996,24.899295,1.040000,2.000000,0.000000,0.000000,0.004675
0.020000,1.067996,24.899485,1.080000,2.000000,0.000000,0.000000,0.004829
0.020000,1.107995,24.899681,1.120000,2.000000,0.000000,0.000000,0.004981
0.020000,1.147995,24.899883,1.160000,2.000000,0.000000,0.000000,0.005131
0.020000,1.187994,24.900092,1.200000,2.000000,0.000000,0.000000,0.005279
0.020000,1.227993,24.900306,1.240000,2.000000,0.000000,0.000000,0.005424
0.020000,1.267993,24.900526,1.280000,2.000000,0.000000,0.000000,0.005568
0.020000,1.307992,24.900751,1.320000,2.000000,0.000000,0.000000,0.005710
0.020000,1.347992,24.900982,1.360000,2.000000,0.000000,0.000000,0.005849
0.020000,1.387991,24.901219,1.400000,2.000000,0.000000,0.000000,0.005986
0.020000,1.427990,24.901461,1.440000,2.000000,0.000000,0.000000,0.006122
0.020000,1.467989,24.901709,1.480000,2.000000,0.000000,0.000000,0.006255
0.020000,1.507989,24.901962,1.520000,2.000000,0.000000,0.000000,0.006386
0.020000,1.547988,24.902220,1.560000,2.000000,0.000000,0.000000,0.006515
0.020000,1.587987,24.902483,1.600000,2.000000,0.000000,0.000000,0.006642
0.020000,1.627986,24.902751,1.640000,2.000000,0.000000,0.000000,0.006767
0.020000,1.667985,24.903024,1.680000,2.000000,0.000000,0.000000,0.006890
0.020000,1.707984,24.903302,1.720000,2.000000,0.000000,0.000000,0.007010
0.020000,1.747983,24.903585,1.760000,2.000000,0.000000,0.000000,0.007129
0.020000,1.787982,24.903872,1.800000,2.000000,0.000000,0.000000,0.007245
0.020000,1.827981,24.904164,1.840000,2.000000,0.000000,0.000000,0.007360
0.020000,1.867980,24.904461,1.880000,2.000000,0.000000,0.000000,0.007472
0.020000,1.907979,24.904762,1.920000,2.000000,0.000000,0.000000,0.007582
0.020000,1.947978,24.905068,1.960000,2.000000,0.000000,0.000000,0.007690
0.020000,1.987976,24.905377,2.000000,2.000000,0.000000,0.000000,0.007797
0.020000,2.027975,24.905691,2.040000,2.000000,0.000000,0.000000,0.007901
0.020000,2.067974,24.906009,2.080000,2.000000,0.000000,0.000000,0.008002
0.020000,2.107973,24.906331,2.120000,2.000000,0.000000,0.000000,0.008102
0.020000,2.147971,24.906658,2.160000,2.000000,0.000000,0.000000,0.008200
0.020000,2.187970,24.906987,2.200000,2.000000,0.000000,0.000000,0.008296
0.020000,2.227968,24.907321,2.240000,2.000000,0.000000,0.000000,0.008389
0.020000,2.267967,24.907659,2.280000,2.000000,0.000000,0.000000,0.008481
