dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000052,24.021774,0.000588,0.058824,2.941176,147.058824,6.283126
0.020000,-0.000044,24.021774,0.000596,0.000404,-2.920981,-293.107894,6.283135
0.020000,-0.000031,24.021774,0.000610,0.000673,0.013444,146.721253,6.283150
0.020000,-0.000012,24.021774,0.000629,0.000941,0.013414,-0.001480,6.283172
0.020000,0.002718,24.021774,0.003359,0.136503,6.778078,338.233221,0.000014
0.020000,0.009218,24.021774,0.009859,0.325004,9.425084,132.350278,0.000048
0.020000,0.016900,24.021775,0.017541,0.384093,2.954431,-323.532669,0.000088
0.020000,0.025764,24.021776,0.026404,0.443180,2.954354,-0.003847,0.000133
0.020000,0.035809,24.021777,0.036449,0.502265,2.954265,-0.004441,0.000185
0.020000,0.047036,24.021780,0.047676,0.561349,2.954164,-0.005034,0.000243
0.020000,0.059445,24.021783,0.060085,0.620430,2.954052,-0.005623,0.000306
0.020000,0.073035,24.021788,0.073675,0.679508,2.953927,-0.006218,0.000376
0.020000,0.087806,24.021794,0.088447,0.738584,2.953791,-0.006812,0.000451
0.020000,0.103760,24.021802,0.104400,0.797657,2.953643,-0.007396,0.000532
0.020000,0.120894,24.021812,0.121535,0.856727,2.953483,-0.007989,0.000619
0.020000,0.139210,24.021824,0.139850,0.915793,2.953311,-0.008603,0.000711
0.020000,0.158707,24.021839,0.159348,0.974855,2.953128,-0.009156,0.000808
0.020000,0.179385,24.021856,0.180026,1.033914,2.952933,-0.009781,0.000911
0.020000,0.201245,24.021877,0.201885,1.092968,2.952725,-0.010366,0.001019
0.020000,0.224285,24.021902,0.224926,1.152019,2.952506,-0.010945,0.001133
0.020000,0.248506,24.021931,0.249147,1.211064,2.952275,-0.011548,0.001251
0.020000,0.273908,24.021964,0.274549,1.270105,2.952033,-0.012138,0.001374
0.020000,0.300491,24.022003,0.301132,1.329140,2.951778,-0.012726,0.001503
0.020000,0.328255,24.022046,0.328895,1.388171,2.951511,-0.013346,0.001636
0.020000,0.357198,24.022096,0.357839,1.447195,2.951233,-0.013895,0.001773
0.020000,0.387323,24.022151,0.387963,1.506214,2.950943,-0.014499,0.001915
0.020000,0.418627,24.022213,0.419268,1.565227,2.950641,-0.015127,0.002062
0.020000,0.451112,24.022283,0.451753,1.624233,2.950327,-0.015675,0.002212
0.020000,0.484776,24.022360,0.485417,1.683233,2.950002,-0.016274,0.002367
0.020000,0.519621,24.022445,0.520262,1.742227,2.949664,-0.016886,0.002525
0.020000,0.555645,24.022539,0.556286,1.801213,2.949315,-0.017475,0.002687
0.020000,0.592849,24.022642,0.593490,1.860192,2.948953,-0.018062,0.002853
0.020000,0.631232,24.022755,0.631873,1.919164,2.948580,-0.018647,0.003022
0.020000,0.670794,24.022878,0.671436,1.978128,2.948196,-0.019231,0.003195
0.020000,0.710945,24.023010,0.711587,2.007561,1.471685,-73.825520,0.003367
0.020000,0.751094,24.023148,0.751736,2.007470,-0.004564,-73.812496,0.003538
0.020000,0.791242,24.023294,0.791884,2.007379,-0.004563,0.000086,0.003707
0.020000,0.831387,24.023446,0.832030,2.007288,-0.004563,0.000003,0.003873
0.020000,0.871531,24.023605,0.872174,2.007196,-0.004565,-0.000096,0.004038
0.020000,0.911672,24.023770,0.912316,2.007105,-0.004563,0.000096,0.004200
0.020000,0.951812,24.023942,0.952456,2.007014,-0.004563,0.000003,0.004361
0.020000,0.991950,24.024120,0.992594,2.006922,-0.004565,-0.000104,0.004519
0.020000,1.032087,24.024304,1.032731,2.006831,-0.004563,0.000104,0.004675
0.020000,1.072221,24.024495,1.072866,2.006740,-0.004563,0.000003,0.004829
0.020000,1.112353,24.024692,1.112999,2.006649,-0.004565,-0.000110,0.004981
0.020000,1.152484,24.024895,1.153130,2.006557,-0.004563,0.000111,0.005131
0.020000,1.192613,24.025104,1.193259,2.006466,-0.004563,0.000002,0.005279
0.020000,1.232740,24.025319,1.233387,2.006375,-0.004565,-0.000115,0.005424
0.020000,1.272865,24.025539,1.273512,2.006284,-0.004562,0.000117,0.005568
0.020000,1.312988,24.025765,1.313636,2.006192,-0.004562,0.000002,0.005710
0.020000,1.353109,24.025997,1.353758,2.006101,-0.004565,-0.000119,0.005849
0.020000,1.393229,24.026235,1.393878,2.006010,-0.004562,0.000121,0.005986
0.020000,1.433346,24.026478,1.433997,2.005919,-0.004562,0.000002,0.006122
0.020000,1.473462,24.026726,1.474113,2.005827,-0.004565,-0.000122,0.006255
0.020000,1.513576,24.026979,1.514228,2.005736,-0.004562,0.000124,0.006386
0.020000,1.553688,24.027238,1.554341,2.005645,-0.004562,0.000002,0.006515
0.020000,1.593798,24.027502,1.594452,2.005553,-0.004565,-0.000123,0.006642
0.020000,1.633907,24.027771,1.634561,2.005462,-0.004562,0.000126,0.006767
0.020000,1.674013,24.028045,1.674669,2.005371,-0.004562,0.000002,0.006890
0.020000,1.714118,24.028324,1.714774,2.005280,-0.004565,-0.000124,0.007010
0.020000,1.754221,24.028607,1.754878,2.005188,-0.004562,0.000126,0.007129
0.020000,1.794322,24.028895,1.794980,2.005097,-0.004562,0.000002,0.007245
0.020000,1.834421,24.029188,1.835080,2.005006,-0.004565,-0.000124,0.007360
0.020000,1.874518,24.029485,1.875178,2.004915,-0.004562,0.000126,0.007472
0.020000,1.914613,24.029787,1.915275,2.004823,-0.004562,0.000002,0.007582
