dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000054,25.875000,0.000588,0.058824,2.941176,147.058824,6.283124
0.020000,0.000043,25.875000,0.000598,0.000503,-2.916045,-292.861098,6.283136
0.020000,0.000027,25.875000,0.000615,0.000837,0.016725,146.638499,6.283155
0.020000,0.000003,25.875000,0.000638,0.001171,0.016680,-0.002212,6.283181
0.020000,0.004679,25.875000,0.005314,0.233791,11.631016,580.716788,0.000031
0.020000,0.011113,25.875000,0.011748,0.321696,4.395226,-361.789502,0.000072
0.020000,0.018717,25.875001,0.019352,0.380190,2.924735,-73.524546,0.000122
0.020000,0.027491,25.875002,0.028126,0.438687,2.924850,0.005750,0.000179
0.020000,0.037434,25.875005,0.038069,0.497187,2.924983,0.006636,0.000243
0.020000,0.048548,25.875008,0.049183,0.555690,2.925133,0.007521,0.000315
0.020000,0.060832,25.875012,0.061467,0.614196,2.925301,0.008403,0.000394
0.020000,0.074286,25.875018,0.074921,0.672705,2.925487,0.009288,0.000480
0.020000,0.088911,25.875026,0.089546,0.731219,2.925691,0.010184,0.000573
0.020000,0.104705,25.875035,0.105340,0.789737,2.925912,0.011044,0.000673
0.020000,0.121671,25.875048,0.122306,0.848260,2.926151,0.011960,0.000780
0.020000,0.139806,25.875063,0.140441,0.906789,2.926407,0.012825,0.000894
0.020000,0.159113,25.875081,0.159748,0.965322,2.926682,0.013710,0.001014
0.020000,0.179590,25.875103,0.180225,1.023862,2.926973,0.014596,0.001141
0.020000,0.201238,25.875130,0.201873,1.082407,2.927283,0.015484,0.001274
0.020000,0.224057,25.875160,0.224692,1.140960,2.927611,0.016375,0.001414
0.020000,0.248048,25.875196,0.248683,1.199519,2.927956,0.017267,0.001559
0.020000,0.273209,25.875237,0.273844,1.258085,2.928318,0.018102,0.001710
0.020000,0.299542,25.875284,0.300178,1.316659,2.928699,0.019068,0.001867
0.020000,0.327047,25.875338,0.327682,1.375241,2.929097,0.019878,0.002030
0.020000,0.355724,25.875398,0.356359,1.433831,2.929513,0.020797,0.002198
0.020000,0.385572,25.875467,0.386208,1.492430,2.929947,0.021690,0.002371
0.020000,0.416593,25.875543,0.417228,1.551038,2.930398,0.022565,0.002549
0.020000,0.448786,25.875628,0.449422,1.609655,2.930867,0.023435,0.002731
0.020000,0.482151,25.875722,0.482787,1.668282,2.931353,0.024325,0.002919
0.020000,0.516690,25.875826,0.517326,1.726920,2.931858,0.025267,0.003110
0.020000,0.552401,25.875941,0.553037,1.785567,2.932379,0.026028,0.003305
0.020000,0.589285,25.876066,0.589921,1.844226,2.932920,0.027058,0.003505
0.020000,0.627343,25.876204,0.627979,1.902895,2.933477,0.027852,0.003707
0.020000,0.666574,25.876353,0.667211,1.961576,2.934052,0.028742,0.003913
0.020000,0.706393,25.876513,0.707031,1.990989,1.470632,-73.171020,0.004119
0.020000,0.746216,25.876681,0.746853,1.991125,0.006819,-73.190628,0.004322
0.020000,0.786040,25.876857,0.786678,1.991262,0.006819,-0.000000,0.004522
0.020000,0.825868,25.877041,0.826506,1.991398,0.006819,-0.000000,0.004719
0.020000,0.865698,25.877233,0.866337,1.991534,0.006819,-0.000001,0.004912
0.020000,0.905531,25.877433,0.906170,1.991671,0.006819,-0.000001,0.005102
0.020000,0.945367,25.877640,0.946007,1.991807,0.006819,-0.000001,0.005290
0.020000,0.985205,25.877854,0.985845,1.991944,0.006819,-0.000001,0.005474
0.020000,1.025046,25.878076,1.025687,1.992080,0.006819,-0.000001,0.005655
0.020000,1.064890,25.878305,1.065531,1.992216,0.006819,-0.000001,0.005833
0.020000,1.104736,25.878540,1.105378,1.992353,0.006819,-0.000002,0.006008
0.020000,1.144585,25.878783,1.145228,1.992489,0.006819,-0.000002,0.006179
0.020000,1.184437,25.879033,1.185081,1.992625,0.006819,-0.000002,0.006348
0.020000,1.224291,25.879289,1.224936,1.992762,0.006819,-0.000002,0.006513
0.020000,1.264148,25.879552,1.264794,1.992898,0.006819,-0.000002,0.006676
0.020000,1.304008,25.879821,1.304655,1.993035,0.006819,-0.000002,0.006835
0.020000,1.343871,25.880097,1.344518,1.993171,0.006819,-0.000002,0.006991
0.020000,1.383736,25.880379,1.384384,1.993307,0.006819,-0.000002,0.007144
0.020000,1.423604,25.880666,1.424253,1.993444,0.006819,-0.000003,0.007294
0.020000,1.463474,25.880960,1.464125,1.993580,0.006819,-0.000003,0.007440
0.020000,1.503347,25.881260,1.503999,1.993716,0.006818,-0.000003,0.007584
0.020000,1.543223,25.881565,1.543876,1.993853,0.006818,-0.000003,0.007725
0.020000,1.583102,25.881876,1.583756,1.993989,0.006818,-0.000003,0.007862
0.020000,1.622983,25.882192,1.623638,1.994125,0.006818,-0.000003,0.007996
0.020000,1.662867,25.882514,1.663524,1.994262,0.006818,-0.000003,0.008127
0.020000,1.702754,25.882840,1.703412,1.994398,0.006818,-0.000003,0.008255
0.020000,1.742643,25.883172,1.743302,1.994535,0.006818,-0.000003,0.008380
0.020000,1.782535,25.883509,1.783196,1.994671,0.006818,-0.000003,0.008502
0.020000,1.822430,25.883851,1.823092,1.994807,0.006818,-0.000003,0.008621
0.020000,1.862327,25.884197,1.862991,1.994944,0.006818,-0.000003,0.008736
0.020000,1.902227,25.884548,1.902892,1.995080,0.006818,-0.000003,0.008849
0.020000,1.942130,25.884903,1.942797,1.995216,0.006818,-0.000003,0.008958
0.020000,1.982035,25.885263,1.982704,1.995353,0.006818,-0.000003,0.009065
0.020000,2.021943,25.885626,2.022613,1.995489,0.006818,-0.000003,0.009168
0.020000,2.061854,25.885994,2.062526,1.995625,0.006818,-0.000003,0.009268
0.020000,2.101768,25.886366,2.102441,1.995762,0.006818,-0.000003,0.009364
0.020000,2.141684,25.886742,2.142359,1.995898,0.006818,-0.000003,0.009458
0.020000,2.181603,25.887121,2.182280,1.996034,0.006817,-0.000003,0.009549
0.020000,2.221524,25.887504,2.222203,1.996171,0.006817,-0.000003,0.009636
0.020000,2.261449,25.887891,2.262129,1.996307,0.006817,-0.000003,0.009721
0.020000,2.301375,25.888280,2.302058,1.996444,0.006817,-0.000003,0.009802
0.020000,2.341305,25.888673,2.341990,1.996580,0.006817,-0.000003,0.009880
0.020000,2.381237,25.889069,2.381924,1.996716,0.006817,-0.000002,0.009955
0.020000,2.421173,25.889468,2.421861,1.996853,0.006817,-0.000002,0.010027
0.020000,2.461110,25.889870,2.461801,1.996989,0.006817,-0.000002,0.010096
0.020000,2.501051,25.890275,2.501744,1.997125,0.006817,-0.000002,0.010162
0.020000,2.540994,25.890682,2.541689,1.997262,0.006817,-0.000002,0.010224
0.020000,2.580940,25.891092,2.581637,1.997398,0.006817,-0.000002,0.010284
0.020000,2.620888,25.891504,2.621587,1.997534,0.006817,-0.000002,0.010340
0.020000,2.660840,25.891918,2.661541,1.997671,0.006817,-0.000002,0.010393
0.020000,2.700794,25.892334,2.701497,1.997807,0.006817,-0.000002,0.010444
0.020000,2.740750,25.892752,2.741456,1.997943,0.006817,-0.000002,0.010491
0.020000,2.780710,25.893173,2.781417,1.998080,0.006817,-0.000002,0.010535
0.020000,2.820672,25.893594,2.821382,1.998216,0.006817,-0.000002,0.010575
0.020000,2.860637,25.894018,2.861349,1.998352,0.006817,-0.000001,0.010613
0.020000,2.900604,25.894443,2.901319,1.998489,0.006817,-0.000001,0.010647
0.020000,2.940574,25.894869,2.941291,1.998625,0.006817,-0.000001,0.010679
0.020000,2.980547,25.895296,2.981266,1.998761,0.006817,-0.000001,0.010707
0.020000,3.020523,25.895725,3.021244,1.998898,0.006817,-0.000001,0.010732
0.020000,3.060501,25.896154,3.061225,1.999034,0.006817,-0.000001,0.010755
0.020000,3.100482,25.896585,3.101208,1.999170,0.006817,-0.000001,0.010773
0.020000,3.140466,25.897016,3.141194,1.999307,0.006817,-0.000001,0.010789
0.020000,3.180453,25.897448,3.181183,1.999443,0.006817,-0.000001,0.010802
0.020000,3.220442,25.897880,3.221175,1.999579,0.006817,-0.000000,0.010812
0.020000,3.260434,25.898312,3.261169,1.999716,0.006817,-0.000000,0.010818
0.020000,3.300429,25.898745,3.301166,1.999852,0.006817,-0.000000,0.010822
0.020000,3.340426,25.899178,3.341166,1.999988,0.006817,-0.000000,0.010822
0.020000,3.380426,25.899611,3.381168,2.000125,0.006817,-0.000000,0.010819
0.020000,3.420429,25.900044,3.421174,2.000261,0.006817,0.000000,0.010813
0.020000,3.460435,25.900476,3.461182,2.000397,0.006817,0.000000,0.010804
0.020000,3.500443,25.900908,3.501192,2.000534,0.006817,0.000000,0.010792
0.020000,3.540454,25.901340,3.541206,2.000670,0.006817,0.000000,0.010776
