dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,25.000000,0.000588,0.058824,2.941176,147.058824,6.283124
0.020000,0.000000,25.000000,0.002353,0.117647,2.941176,0.000000,6.283136
0.020000,0.000000,25.000000,0.005294,0.176471,2.941176,0.000000,6.283155
0.020000,0.000000,25.000000,0.009412,0.235294,2.941176,-0.000000,6.283181
0.020000,0.004706,25.000000,0.014706,0.294118,2.941176,0.000000,0.000031
0.020000,0.011176,25.000000,0.021176,0.352941,2.941176,0.000000,0.000072
0.020000,0.018824,25.000001,0.028824,0.411765,2.941176,-0.000000,0.000122
0.020000,0.027647,25.000002,0.037647,0.470588,2.941176,0.000000,0.000179
0.020000,0.037647,25.000005,0.047647,0.529412,2.941176,0.000000,0.000243
0.020000,0.048824,25.000008,0.058824,0.588235,2.941176,0.000000,0.000315
0.020000,0.061176,25.000012,0.071176,0.647059,2.941176,0.000000,0.000394
0.020000,0.074706,25.000018,0.084706,0.705882,2.941176,0.000000,0.000480
0.020000,0.089412,25.000026,0.099412,0.764706,2.941176,-0.000000,0.000573
0.020000,0.105294,25.000036,0.115294,0.823529,2.941176,0.000000,0.000673
0.020000,0.122353,25.000048,0.132353,0.882353,2.941176,0.000000,0.000780
0.020000,0.140588,25.000063,0.150588,0.941176,2.941176,0.000000,0.000894
0.020000,0.160000,25.000082,0.170000,1.000000,2.941176,0.000000,0.001014
0.020000,0.180588,25.000104,0.190588,1.058824,2.941176,0.000000,0.001141
0.020000,0.202353,25.000130,0.212353,1.117647,2.941176,0.000000,0.001274
0.020000,0.225294,25.000161,0.235294,1.176471,2.941176,0.000000,0.001414
0.020000,0.249412,25.000197,0.259412,1.235294,2.941176,0.000000,0.001559
0.020000,0.274706,25.000238,0.284706,1.294118,2.941176,0.000000,0.001710
0.020000,0.301176,25.000286,0.311176,1.352941,2.941176,0.000000,0.001867
0.020000,0.328823,25.000340,0.338824,1.411765,2.941176,0.000000,0.002030
0.020000,0.357647,25.000400,0.367647,1.470588,2.941176,0.000000,0.002198
0.020000,0.387647,25.000469,0.397647,1.529412,2.941176,-0.000000,0.002371
0.020000,0.418823,25.000546,0.428824,1.588235,2.941176,0.000000,0.002549
0.020000,0.451176,25.000631,0.461176,1.647059,2.941176,0.000000,0.002731
0.020000,0.484705,25.000726,0.494706,1.705882,2.941176,0.000000,0.002919
0.020000,0.519411,25.000830,0.529412,1.764706,2.941176,0.000000,0.003110
0.020000,0.555293,25.000946,0.565294,1.823529,2.941176,0.000000,0.003305
0.020000,0.592352,25.001072,0.602353,1.882353,2.941176,0.000000,0.003505
0.020000,0.630587,25.001210,0.640588,1.941176,2.941176,0.000000,0.003707
0.020000,0.669998,25.001360,0.680000,2.000000,2.941176,0.000000,0.003913
0.020000,0.709998,25.001520,0.720000,2.000000,0.000000,-147.058824,0.004119
0.020000,0.749998,25.001689,0.760000,2.000000,0.000000,0.000000,0.004322
0.020000,0.789997,25.001866,0.800000,2.000000,0.000000,0.000000,0.004522
0.020000,0.829997,25.002051,0.840000,2.000000,0.000000,0.000000,0.004719
0.020000,0.869996,25.002244,0.880000,2.000000,0.000000,0.000000,0.004912
0.020000,0.909996,25.002444,0.920000,2.000000,0.000000,0.000000,0.005102
0.020000,0.949995,25.002652,0.960000,2.000000,0.000000,0.000000,0.005290
0.020000,0.989995,25.002867,1.000000,2.000000,0.000000,0.000000,0.005474
0.020000,1.029994,25.003090,1.040000,2.000000,0.000000,0.000000,0.005655
0.020000,1.069993,25.003319,1.080000,2.000000,0.000000,0.000000,0.005833
0.020000,1.109993,25.003556,1.120000,2.000000,0.000000,0.000000,0.006008
0.020000,1.149992,25.003800,1.160000,2.000000,0.000000,0.000000,0.006179
0.020000,1.189991,25.004051,1.200000,2.000000,0.000000,0.000000,0.006348
0.020000,1.229990,25.004308,1.240000,2.000000,0.000000,0.000000,0.006513
0.020000,1.269989,25.004572,1.280000,2.000000,0.000000,0.000000,0.006676
0.020000,1.309988,25.004842,1.320000,2.000000,0.000000,0.000000,0.006835
0.020000,1.349988,25.005118,1.360000,2.000000,0.000000,0.000000,0.006991
0.020000,1.389987,25.005401,1.400000,2.000000,0.000000,0.000000,0.007144
0.020000,1.429985,25.005690,1.440000,2.000000,0.000000,0.000000,0.007294
0.020000,1.469984,25.005984,1.480000,2.000000,0.000000,0.000000,0.007440
0.020000,1.509983,25.006285,1.520000,2.000000,0.000000,0.000000,0.007584
0.020000,1.549982,25.006591,1.560000,2.000000,0.000000,0.000000,0.007725
0.020000,1.589981,25.006903,1.600000,2.000000,0.000000,0.000000,0.007862
0.020000,1.629980,25.007220,1.640000,2.000000,0.000000,0.000000,0.007996
0.020000,1.669978,25.007543,1.680000,2.000000,0.000000,0.000000,0.008127
0.020000,1.709977,25.007870,1.720000,2.000000,0.000000,0.000000,0.008255
0.020000,1.749976,25.008203,1.760000,2.000000,0.000000,0.000000,0.008380
0.020000,1.789974,25.008541,1.800000,2.000000,0.000000,0.000000,0.008502
0.020000,1.829973,25.008883,1.840000,2.000000,0.000000,0.000000,0.008621
0.020000,1.869971,25.009230,1.880000,2.000000,0.000000,0.000000,0.008736
0.020000,1.909970,25.009582,1.920000,2.000000,0.000000,0.000000,0.008849
0.020000,1.949968,25.009938,1.960000,2.000000,0.000000,0.000000,0.008958
0.020000,1.989966,25.010299,2.000000,2.000000,0.000000,0.000000,0.009065
0.020000,2.029965,25.010663,2.040000,2.000000,0.000000,0.000000,0.009168
0.020000,2.069963,25.011032,2.080000,2.000000,0.000000,0.000000,0.009268
0.020000,2.109961,25.011405,2.120000,2.000000,0.000000,0.000000,0.009364
0.020000,2.149960,25.011781,2.160000,2.000000,0.000000,0.000000,0.009458
0.020000,2.189958,25.012161,2.200000,2.000000,0.000000,0.000000,0.009549
0.020000,2.229956,25.012545,2.240000,2.000000,0.000000,0.000000,0.009636
0.020000,2.269954,25.012932,2.280000,2.000000,0.000000,0.000000,0.009721
0.020000,2.309952,25.013322,2.320000,2.000000,0.000000,0.000000,0.009802
0.020000,2.349950,25.013716,2.360000,2.000000,0.000000,0.000000,0.009880
0.020000,2.389948,25.014113,2.400000,2.000000,0.000000,0.000000,0.009955
0.020000,2.429946,25.014512,2.440000,2.000000,0.000000,0.000000,0.010027
0.020000,2.469944,25.014915,2.480000,2.000000,0.000000,0.000000,0.010096
0.020000,2.509942,25.015320,2.520000,2.000000,0.000000,0.000000,0.010162
0.020000,2.549940,25.015728,2.560000,2.000000,0.000000,0.000000,0.010224
0.020000,2.589938,25.016138,2.600000,2.000000,0.000000,0.000000,0.010284
0.020000,2.629936,25.016550,2.640000,2.000000,0.000000,0.000000,0.010340
0.020000,2.669934,25.016965,2.680000,2.000000,0.000000,0.000000,0.010393
0.020000,2.709932,25.017382,2.720000,2.000000,0.000000,0.000000,0.010444
0.020000,2.749929,25.017801,2.760000,2.000000,0.000000,0.000000,0.010491
0.020000,2.789927,25.018221,2.800000,2.000000,0.000000,0.000000,0.010535
0.020000,2.829925,25.018643,2.840000,2.000000,0.000000,0.000000,0.010575
0.020000,2.869923,25.019067,2.880000,2.000000,0.000000,0.000000,0.010613
0.020000,2.909920,25.019492,2.920000,2.000000,0.000000,0.000000,0.010647
0.020000,2.949918,25.019919,2.960000,2.000000,0.000000,0.000000,0.010679
0.020000,2.989916,25.020347,3.000000,2.000000,0.000000,0.000000,0.010707
0.020000,3.029914,25.020775,3.040000,2.000000,0.000000,0.000000,0.010732
0.020000,3.069911,25.021205,3.080000,2.000000,0.000000,0.000000,0.010755
0.020000,3.109909,25.021636,3.120000,2.000000,0.000000,0.000000,0.010773
0.020000,3.149907,25.022067,3.160000,2.000000,0.000000,0.000000,0.010789
0.020000,3.189904,25.022499,3.200000,2.000000,0.000000,0.000000,0.010802
0.020000,3.229902,25.022931,3.240000,2.000000,0.000000,0.000000,0.010812
0.020000,3.269900,25.023364,3.280000,2.000000,0.000000,0.000000,0.010818
0.020000,3.309897,25.023796,3.320000,2.000000,0.000000,0.000000,0.010822
0.020000,3.349895,25.024229,3.360000,2.000000,0.000000,0.000000,0.010822
0.020000,3.389893,25.024662,3.400000,2.000000,0.000000,0.000000,0.010819
0.020000,3.429890,25.025095,3.440000,2.000000,0.000000,0.000000,0.010813
0.020000,3.469888,25.025527,3.480000,2.000000,0.000000,0.000000,0.010804
0.020000,3.509886,25.025959,3.520000,2.000000,0.000000,0.000000,0.010792
0.020000,3.549883,25.026390,3.560000,2.000000,0.000000,0.000000,0.010776
0.020000,3.589881,25.026821,3.600000,2.000000,0.000000,0.000000,0.010758
0.020000,3.629879,25.027251,3.640000,2.000000,0.000000,0.000000,0.010736
0.020000,3.669876,25.027680,3.680000,2.000000,0.000000,0.000000,0.010712
0.020000,3.709874,25.028108,3.720000,2.000000,0.000000,0.000000,0.010684
0.020000,3.749872,25.028535,3.760000,2.000000,0.000000,0.000000,0.010653
0.020000,3.789869,25.028960,3.800000,2.000000,0.000000,0.000000,0.010619
0.020000,3.829867,25.029384,3.840000,2.000000,0.000000,0.000000,0.010582
0.020000,3.869865,25.029806,3.880000,2.000000,0.000000,0.000000,0.010542
0.020000,3.909863,25.030227,3.920000,2.000000,0.000000,0.000000,0.010498
0.020000,3.949861,25.030646,3.960000,2.000000,0.000000,0.000000,0.010452
0.020000,3.989858,25.031063,4.000000,2.000000,0.000000,0.000000,0.010402
0.020000,4.029856,25.031478,4.040000,2.000000,0.000000,0.000000,0.010350
0.020000,4.069854,25.031891,4.080000,2.000000,0.000000,0.000000,0.010294
0.020000,4.109852,25.032302,4.120000,2.000000,0.000000,0.000000,0.010235
0.020000,4.149850,25.032710,4.160000,2.000000,0.000000,0.000000,0.010173
