dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000054,24.125000,0.000588,0.058824,2.941176,147.058824,6.283124
0.020000,-0.000043,24.125000,0.000598,0.000503,-2.916045,-292.861098,6.283136
0.020000,-0.000027,24.125000,0.000615,0.000837,0.016725,146.638499,6.283155
0.020000,-0.000003,24.125000,0.000638,0.001171,0.016680,-0.002212,6.283181
0.020000,0.004733,24.125000,0.005374,0.236797,11.781324,588.232197,0.000031
0.020000,0.011240,24.125000,0.011882,0.325363,4.428303,-367.651039,0.000072
0.020000,0.018930,24.125001,0.019572,0.384516,2.957618,-73.534278,0.000122
0.020000,0.027803,24.125002,0.028445,0.443666,2.957503,-0.005751,0.000179
0.020000,0.037860,24.125005,0.038502,0.502813,2.957370,-0.006634,0.000243
0.020000,0.049099,24.125008,0.049741,0.561957,2.957220,-0.007520,0.000315
0.020000,0.061521,24.125012,0.062163,0.621099,2.957052,-0.008407,0.000394
0.020000,0.075126,24.125018,0.075767,0.680236,2.956866,-0.009292,0.000480
0.020000,0.089913,24.125026,0.090555,0.739369,2.956662,-0.010165,0.000573
0.020000,0.105883,24.125036,0.106525,0.798498,2.956441,-0.011075,0.000673
0.020000,0.123035,24.125048,0.123677,0.857622,2.956202,-0.011929,0.000780
0.020000,0.141370,24.125064,0.142012,0.916741,2.955946,-0.012833,0.000894
0.020000,0.160887,24.125082,0.161529,0.975854,2.955671,-0.013718,0.001014
0.020000,0.181586,24.125105,0.182228,1.034962,2.955379,-0.014602,0.001141
0.020000,0.203468,24.125131,0.204110,1.094063,2.955070,-0.015483,0.001274
0.020000,0.226531,24.125162,0.227173,1.153158,2.954742,-0.016363,0.001414
0.020000,0.250776,24.125198,0.251418,1.212246,2.954398,-0.017241,0.001559
0.020000,0.276202,24.125240,0.276844,1.271327,2.954034,-0.018176,0.001710
0.020000,0.302810,24.125287,0.303452,1.330400,2.953654,-0.018979,0.001867
0.020000,0.330599,24.125341,0.331241,1.389465,2.953256,-0.019939,0.002030
0.020000,0.359570,24.125403,0.360212,1.448522,2.952840,-0.020791,0.002198
0.020000,0.389721,24.125471,0.390363,1.507570,2.952407,-0.021667,0.002371
0.020000,0.421053,24.125549,0.421695,1.566609,2.951955,-0.022562,0.002549
0.020000,0.453566,24.125634,0.454208,1.625639,2.951486,-0.023462,0.002731
0.020000,0.487259,24.125730,0.487901,1.684659,2.950999,-0.024341,0.002919
0.020000,0.522132,24.125835,0.522775,1.743669,2.950496,-0.025169,0.003110
0.020000,0.558185,24.125950,0.558828,1.802668,2.949972,-0.026179,0.003305
0.020000,0.595418,24.126077,0.596061,1.861657,2.949434,-0.026917,0.003505
0.020000,0.633831,24.126216,0.634474,1.920634,2.948876,-0.027894,0.003707
0.020000,0.673422,24.126367,0.674066,1.979600,2.948301,-0.028773,0.003913
0.020000,0.713602,24.126528,0.714246,2.009011,1.470545,-73.887801,0.004119
0.020000,0.753779,24.126697,0.754424,2.008875,-0.006819,-73.868181,0.004322
0.020000,0.793954,24.126875,0.794598,2.008738,-0.006819,0.000000,0.004522
0.020000,0.834125,24.127061,0.834771,2.008602,-0.006819,0.000000,0.004719
0.020000,0.874294,24.127254,0.874940,2.008466,-0.006819,0.000001,0.004912
0.020000,0.914460,24.127455,0.915106,2.008329,-0.006819,0.000001,0.005102
0.020000,0.954624,24.127664,0.955270,2.008193,-0.006819,0.000001,0.005290
0.020000,0.994784,24.127880,0.995431,2.008056,-0.006819,0.000001,0.005474
0.020000,1.034942,24.128104,1.035590,2.007920,-0.006819,0.000001,0.005655
0.020000,1.075097,24.128334,1.075745,2.007784,-0.006819,0.000001,0.005833
0.020000,1.115249,24.128572,1.115898,2.007647,-0.006819,0.000002,0.006008
0.020000,1.155399,24.128817,1.156049,2.007511,-0.006819,0.000002,0.006179
0.020000,1.195545,24.129068,1.196196,2.007375,-0.006819,0.000002,0.006348
0.020000,1.235689,24.129326,1.236341,2.007238,-0.006819,0.000002,0.006513
0.020000,1.275831,24.129591,1.276483,2.007102,-0.006819,0.000002,0.006676
0.020000,1.315969,24.129862,1.316622,2.006965,-0.006819,0.000002,0.006835
0.020000,1.356105,24.130140,1.356759,2.006829,-0.006819,0.000002,0.006991
0.020000,1.396237,24.130423,1.396893,2.006693,-0.006819,0.000002,0.007144
0.020000,1.436367,24.130713,1.437024,2.006556,-0.006819,0.000003,0.007294
0.020000,1.476495,24.131009,1.477152,2.006420,-0.006819,0.000003,0.007440
0.020000,1.516619,24.131310,1.517278,2.006284,-0.006818,0.000003,0.007584
0.020000,1.556741,24.131617,1.557401,2.006147,-0.006818,0.000003,0.007725
0.020000,1.596860,24.131930,1.597521,2.006011,-0.006818,0.000003,0.007862
0.020000,1.636976,24.132248,1.637639,2.005875,-0.006818,0.000003,0.007996
0.020000,1.677090,24.132571,1.677753,2.005738,-0.006818,0.000003,0.008127
0.020000,1.717200,24.132900,1.717865,2.005602,-0.006818,0.000003,0.008255
0.020000,1.757308,24.133234,1.757975,2.005465,-0.006818,0.000003,0.008380
0.020000,1.797414,24.133572,1.798081,2.005329,-0.006818,0.000003,0.008502
0.020000,1.837516,24.133916,1.838185,2.005193,-0.006818,0.000003,0.008621
0.020000,1.877616,24.134264,1.878286,2.005056,-0.006818,0.000003,0.008736
0.020000,1.917712,24.134616,1.918385,2.004920,-0.006818,0.000003,0.008849
0.020000,1.957806,24.134973,1.958480,2.004784,-0.006818,0.000003,0.008958
0.020000,1.997898,24.135334,1.998573,2.004647,-0.006818,0.000003,0.009065
0.020000,2.037986,24.135700,2.038663,2.004511,-0.006818,0.000003,0.009168
0.020000,2.078072,24.136069,2.078751,2.004375,-0.006818,0.000003,0.009268
0.020000,2.118155,24.136443,2.118836,2.004238,-0.006818,0.000003,0.009364
0.020000,2.158235,24.136820,2.158918,2.004102,-0.006818,0.000003,0.009458
0.020000,2.198313,24.137201,2.198997,2.003966,-0.006817,0.000003,0.009549
0.020000,2.238388,24.137585,2.239074,2.003829,-0.006817,0.000003,0.009636
0.020000,2.278460,24.137973,2.279147,2.003693,-0.006817,0.000003,0.009721
0.020000,2.318529,24.138364,2.319219,2.003556,-0.006817,0.000003,0.009802
0.020000,2.358595,24.138759,2.359287,2.003420,-0.006817,0.000003,0.009880
0.020000,2.398659,24.139156,2.399353,2.003284,-0.006817,0.000002,0.009955
0.020000,2.438720,24.139556,2.439416,2.003147,-0.006817,0.000002,0.010027
0.020000,2.478778,24.139960,2.479476,2.003011,-0.006817,0.000002,0.010096
0.020000,2.518834,24.140365,2.519533,2.002875,-0.006817,0.000002,0.010162
0.020000,2.558886,24.140774,2.559588,2.002738,-0.006817,0.000002,0.010224
0.020000,2.598936,24.141184,2.599640,2.002602,-0.006817,0.000002,0.010284
0.020000,2.638983,24.141597,2.639689,2.002466,-0.006817,0.000002,0.010340
0.020000,2.679028,24.142012,2.679736,2.002329,-0.006817,0.000002,0.010393
0.020000,2.719070,24.142430,2.719780,2.002193,-0.006817,0.000002,0.010444
0.020000,2.759108,24.142849,2.759821,2.002057,-0.006817,0.000002,0.010491
0.020000,2.799145,24.143270,2.799859,2.001920,-0.006817,0.000002,0.010535
0.020000,2.839178,24.143692,2.839895,2.001784,-0.006817,0.000002,0.010575
0.020000,2.879209,24.144116,2.879928,2.001648,-0.006817,0.000001,0.010613
0.020000,2.919237,24.144542,2.919958,2.001511,-0.006817,0.000001,0.010647
0.020000,2.959262,24.144969,2.959986,2.001375,-0.006817,0.000001,0.010679
0.020000,2.999285,24.145397,3.000011,2.001239,-0.006817,0.000001,0.010707
0.020000,3.039304,24.145826,3.040033,2.001102,-0.006817,0.000001,0.010732
0.020000,3.079321,24.146256,3.080052,2.000966,-0.006817,0.000001,0.010755
0.020000,3.119336,24.146686,3.120069,2.000830,-0.006817,0.000001,0.010773
0.020000,3.159347,24.147118,3.160082,2.000693,-0.006817,0.000001,0.010789
0.020000,3.199356,24.147550,3.200094,2.000557,-0.006817,0.000001,0.010802
0.020000,3.239362,24.147982,3.240102,2.000421,-0.006817,0.000000,0.010812
0.020000,3.279365,24.148415,3.280108,2.000284,-0.006817,0.000000,0.010818
0.020000,3.319366,24.148848,3.320111,2.000148,-0.006817,0.000000,0.010822
0.020000,3.359364,24.149280,3.360111,2.000012,-0.006817,0.000000,0.010822
0.020000,3.399359,24.149713,3.400108,1.999875,-0.006817,0.000000,0.010819
0.020000,3.439351,24.150146,3.440103,1.999739,-0.006817,-0.000000,0.010813
0.020000,3.479341,24.150578,3.480095,1.999603,-0.006817,-0.000000,0.010804
0.020000,3.519328,24.151010,3.520085,1.999466,-0.006817,-0.000000,0.010792
0.020000,3.559312,24.151441,3.560071,1.999330,-0.006817,-0.000000,0.010776
0.020000,3.599294,24.151872,3.600055,1.999194,-0.006817,-0.000001,0.010758
0.020000,3.639273,24.152301,3.640036,1.999057,-0.006817,-0.000001,0.010736
0.020000,3.679249,24.152730,3.680015,1.998921,-0.006817,-0.000001,0.010712
0.020000,3.719222,24.153158,3.719990,1.998785,-0.006817,-0.000001,0.010684
0.020000,3.759193,24.153584,3.759963,1.998648,-0.006817,-0.000001,0.010653
0.020000,3.799161,24.154009,3.799933,1.998512,-0.006817,-0.000001,0.010619
0.020000,3.839126,24.154433,3.839901,1.998376,-0.006817,-0.000001,0.010582
0.020000,3.879089,24.154855,3.879866,1.998239,-0.006817,-0.000001,0.010542
0.020000,3.919049,24.155276,3.919828,1.998103,-0.006817,-0.000001,0.010498
0.020000,3.959006,24.155694,3.959787,1.997967,-0.006817,-0.000002,0.010452
0.020000,3.998960,24.156111,3.999744,1.997830,-0.006817,-0.000002,0.010402
0.020000,4.038912,24.156525,4.039698,1.997694,-0.006817,-0.000002,0.010350
0.020000,4.078861,24.156938,4.079649,1.997558,-0.006817,-0.000002,0.010294
0.020000,4.118807,24.157348,4.119597,1.997421,-0.006817,-0.000002,0.010235
0.020000,4.158751,24.157755,4.159543,1.997285,-0.006817,-0.000002,0.010173
0.020000,4.198692,24.158160,4.199486,1.997149,-0.006817,-0.000002,0.010108
0.020000,4.238630,24.158563,4.239426,1.997012,-0.006817,-0.000002,0.010039
0.020000,4.278566,24.158962,4.279364,1.996876,-0.006817,-0.000002,0.009968
0.020000,4.318498,24.159359,4.319298,1.996740,-0.006817,-0.000002,0.009893
0.020000,4.358429,24.159752,4.359231,1.996603,-0.006817,-0.000002,0.009816
0.020000,4.398356,24.160143,4.399160,1.996467,-0.006817,-0.000002,0.009735
0.020000,4.438281,24.160530,4.439087,1.996331,-0.006817,-0.000003,0.009651
0.020000,4.478203,24.160913,4.479010,1.996194,-0.006817,-0.000003,0.009564
0.020000,4.518122,24.161293,4.518932,1.996058,-0.006817,-0.000003,0.009474
0.020000,4.558039,24.161670,4.558850,1.995922,-0.006817,-0.000003,0.009381
0.020000,4.597953,24.162042,4.598766,1.995785,-0.006818,-0.000003,0.009284
0.020000,4.637864,24.162411,4.638679,1.995649,-0.006818,-0.000003,0.009185
0.020000,4.677773,24.162775,4.678589,1.995513,-0.006818,-0.000003,0.009082
0.020000,4.717679,24.163136,4.718496,1.995376,-0.006818,-0.000003,0.008977
0.020000,4.757582,24.163492,4.758401,1.995240,-0.006818,-0.000003,0.008868
0.020000,4.797482,24.163843,4.798303,1.995103,-0.006818,-0.000003,0.008756
