dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001165,0.874999,0.000588,0.058824,2.941176,147.058824,6.281854
0.020000,0.000270,0.875000,0.001483,0.044725,-0.704931,-182.305397,6.282876
0.020000,0.001185,0.875001,0.002397,0.045733,0.050415,37.767310,0.001399
0.020000,0.003203,0.875006,0.004415,0.100890,2.757816,135.370072,0.003799
0.020000,0.005782,0.875020,0.006995,0.128967,1.403866,-67.697532,0.006901
0.020000,0.008912,0.875047,0.010125,0.156506,1.376940,-1.346252,0.010719
0.020000,0.012578,0.875095,0.013791,0.183327,1.341081,-1.792991,0.015268
0.020000,0.016765,0.875170,0.017978,0.209359,1.301594,-1.974337,0.020566
0.020000,0.021452,0.875281,0.022667,0.234422,1.253123,-2.423558,0.026637
0.020000,0.026617,0.875436,0.027835,0.258388,1.198323,-2.739966,0.033504
0.020000,0.032236,0.875646,0.033457,0.281118,1.136510,-3.090652,0.041196
0.020000,0.038279,0.875921,0.039507,0.302483,1.068227,-3.414147,0.049744
0.020000,0.044716,0.876271,0.045953,0.322335,0.992625,-3.780136,0.059183
0.020000,0.051512,0.876709,0.052763,0.340502,0.908325,-4.214982,0.069551
0.020000,0.058630,0.877245,0.059901,0.356888,0.819302,-4.451168,0.080890
0.020000,0.066028,0.877891,0.067327,0.371319,0.721578,-4.886205,0.093243
0.020000,0.073664,0.878656,0.075002,0.383704,0.619209,-5.118411,0.106657
0.020000,0.081491,0.879551,0.082880,0.393910,0.510330,-5.443968,0.121183
0.020000,0.089462,0.880585,0.090917,0.401867,0.397833,-5.624835,0.136871
0.020000,0.097526,0.881764,0.099067,0.407520,0.282654,-5.758972,0.153775
0.020000,0.105635,0.883096,0.107285,0.410854,0.166682,-5.798587,0.171947
0.020000,0.113738,0.884583,0.115523,0.411933,0.053959,-5.636147,0.191439
0.020000,0.121789,0.886230,0.123741,0.410866,-0.053338,-5.364861,0.212299
0.020000,0.129744,0.888036,0.131898,0.407876,-0.149480,-4.807094,0.234573
0.020000,0.137566,0.890003,0.139964,0.403292,-0.229207,-3.986337,0.258295
0.020000,0.145228,0.892130,0.147916,0.397582,-0.285525,-2.815932,0.283494
0.020000,0.152713,0.894418,0.155742,0.391345,-0.311832,-1.315326,0.310178
0.020000,0.160020,0.896872,0.163450,0.385384,-0.298049,0.689130,0.338344
0.020000,0.167163,0.899504,0.171063,0.380654,-0.236524,3.076264,0.367962
0.020000,0.174180,0.902334,0.178629,0.378301,-0.117620,5.945220,0.398979
0.020000,0.181128,0.905396,0.186222,0.379626,0.066220,9.191975,0.431310
0.020000,0.188087,0.908741,0.193943,0.386060,0.321702,12.774089,0.464838
0.020000,0.195159,0.912442,0.201925,0.399111,0.652567,16.543241,0.499413
0.020000,0.202465,0.916599,0.210331,0.420274,1.058159,20.279600,0.534848
0.020000,0.210027,0.921264,0.219216,0.444257,1.199131,7.048606,0.570407
0.020000,0.217855,0.926484,0.228625,0.470457,1.309995,5.543209,0.605367
0.020000,0.226051,0.932369,0.238715,0.504496,1.701976,19.599081,0.639550
0.020000,0.234695,0.939030,0.249627,0.545628,2.056565,17.729419,0.672792
0.020000,0.243847,0.946571,0.261486,0.592955,2.366357,15.489614,0.704952
0.020000,0.253547,0.955091,0.274397,0.645502,2.627379,13.051094,0.735912
0.020000,0.263813,0.964676,0.288442,0.702263,2.838017,10.531878,0.765574
0.020000,0.274651,0.975397,0.303687,0.762247,2.999202,8.059251,0.793865
0.020000,0.286050,0.987314,0.320177,0.824525,3.113907,5.735294,0.820732
0.020000,0.297990,1.000468,0.337942,0.888254,3.186442,3.626712,0.846143
0.020000,0.310445,1.014887,0.356996,0.952692,3.221923,1.774080,0.870081
0.020000,0.323383,1.030588,0.377341,1.017220,3.226375,0.222608,0.892544
0.020000,0.336771,1.047572,0.398967,1.081319,3.204982,-1.069669,0.913542
0.020000,0.350575,1.065834,0.421859,1.144594,3.163736,-2.062287,0.933094
0.020000,0.364764,1.085357,0.445993,1.206734,3.107004,-2.836621,0.951225
0.020000,0.379307,1.106121,0.471344,1.267534,3.039980,-3.351208,0.967967
0.020000,0.394181,1.128098,0.497881,1.326851,2.965888,-3.704577,0.983353
0.020000,0.409363,1.151258,0.525573,1.384614,2.888142,-3.887288,0.997418
0.020000,0.424836,1.175567,0.554390,1.440807,2.809647,-3.924785,1.010200
0.020000,0.440589,1.200992,0.584299,1.495456,2.732452,-3.859739,1.021732
0.020000,0.456613,1.227497,0.615271,1.548622,2.658269,-3.709127,1.032049
0.020000,0.472906,1.255047,0.647279,1.600392,2.588527,-3.487124,1.041183
0.020000,0.489469,1.283610,0.680297,1.650878,2.524274,-3.212660,1.049163
0.020000,0.506309,1.313151,0.714301,1.700203,2.466279,-2.899750,1.056015
0.020000,0.523436,1.343640,0.749271,1.748510,2.415351,-2.546399,1.061763
0.020000,0.540864,1.375048,0.785190,1.795944,2.371709,-2.182110,1.066427
0.020000,0.558612,1.407346,0.822043,1.842659,2.335742,-1.798351,1.070024
0.020000,0.576704,1.440508,0.859819,1.888812,2.307636,-1.405253,1.072565
0.020000,0.595165,1.474511,0.898510,1.934566,2.287687,-0.997497,1.074061
0.020000,0.614026,1.509333,0.938112,1.980083,2.275867,-0.590984,1.074516
0.020000,0.633323,1.544952,0.978623,2.025528,2.272229,-0.181883,1.073933
0.020000,0.653094,1.581350,1.020044,2.071065,2.276874,0.232215,1.072308
0.020000,0.673382,1.618510,1.062381,2.116858,2.289662,0.639420,1.069637
0.020000,0.694234,1.656414,1.105643,2.163070,2.310607,1.047230,1.065910
0.020000,0.715702,1.695048,1.149840,2.209864,2.339691,1.454226,1.061113
0.020000,0.737842,1.734394,1.194988,2.257396,2.376596,1.845237,1.055230
0.020000,0.760716,1.774438,1.241104,2.305818,2.421092,2.224801,1.048239
0.020000,0.784389,1.815163,1.288210,2.355277,2.472964,2.593623,1.040119
0.020000,0.808931,1.856552,1.336328,2.405911,2.531695,2.936556,1.030840
0.020000,0.831901,1.894479,1.380669,2.217033,-9.443921,-598.780817,1.022675
0.020000,0.845328,1.916867,1.406774,1.305287,-45.587295,-1807.168722,1.038554
0.020000,0.858381,1.939441,1.432851,1.303826,-0.073023,2275.713626,1.054466
0.020000,0.871068,1.962209,1.458915,1.303198,-0.031407,2.080793,1.070393
0.020000,0.883393,1.985181,1.484984,1.303446,0.012361,2.188392,1.086314
0.020000,0.895361,2.008365,1.511075,1.304555,0.055477,2.155810,1.102209
0.020000,0.906977,2.031772,1.537206,1.306551,0.099812,2.216723,1.118059
0.020000,0.918246,2.055412,1.563395,1.309439,0.144366,2.227722,1.133843
0.020000,0.929173,2.079295,1.589659,1.313203,0.188244,2.193912,1.149541
0.020000,0.939763,2.103431,1.616015,1.317844,0.232040,2.189796,1.165133
0.020000,0.950019,2.127831,1.642482,1.323347,0.275135,2.154757,1.180599
0.020000,0.959945,2.152502,1.669076,1.329693,0.317283,2.107401,1.195920
0.020000,0.969546,2.177456,1.695813,1.336858,0.358251,2.048410,1.211077
0.020000,0.978824,2.202702,1.722710,1.344814,0.397825,1.978654,1.226052
0.020000,0.987784,2.228247,1.749780,1.353530,0.435808,1.899169,1.240828
0.020000,0.996427,2.254099,1.777040,1.362972,0.472090,1.814101,1.255389
0.020000,1.004758,2.280267,1.804502,1.373100,0.506417,1.716354,1.269718
0.020000,1.012779,2.306757,1.832179,1.383873,0.538619,1.610081,1.283800
0.020000,1.020492,2.333575,1.860084,1.395248,0.568782,1.508190,1.297623
0.020000,1.027900,2.360726,1.888228,1.407185,0.596840,1.402876,1.311173
0.020000,1.035006,2.388215,1.916621,1.419636,0.622543,1.285152,1.324438
0.020000,1.041812,2.416046,1.945272,1.432556,0.646009,1.173315,1.337408
0.020000,1.048320,2.444222,1.974190,1.445903,0.667357,1.067394,1.350073
0.020000,1.054535,2.472746,2.003382,1.459631,0.686397,0.951981,1.362424
0.020000,1.060457,2.501619,2.032856,1.473698,0.703320,0.846159,1.374453
0.020000,1.066091,2.530842,2.062618,1.488062,0.718226,0.745283,1.386155
0.020000,1.071440,2.560416,2.092671,1.502683,0.731049,0.641144,1.397522
0.020000,1.076506,2.590340,2.123022,1.517524,0.742036,0.549357,1.408549
0.020000,1.081295,2.620615,2.153673,1.532548,0.751209,0.458646,1.419234
0.020000,1.085809,2.651238,2.184627,1.547723,0.758717,0.375412,1.429572
0.020000,1.090053,2.682209,2.215888,1.563015,0.764630,0.295637,1.439560
0.020000,1.094032,2.713525,2.247455,1.578398,0.769154,0.226242,1.449196
0.020000,1.097751,2.745185,2.279332,1.593845,0.772326,0.158559,1.458479
0.020000,1.101215,2.777184,2.311519,1.609331,0.774293,0.098368,1.467409
0.020000,1.104429,2.809522,2.344016,1.624835,0.775246,0.047643,1.475984
0.020000,1.107399,2.842194,2.376822,1.640339,0.775159,-0.004355,1.484205
0.020000,1.110132,2.875197,2.409939,1.655825,0.774296,-0.043137,1.492071
0.020000,1.112634,2.908529,2.443365,1.671279,0.772713,-0.079171,1.499585
0.020000,1.114913,2.942186,2.477098,1.686687,0.770418,-0.114712,1.506746
0.020000,1.116975,2.976164,2.511139,1.702041,0.767697,-0.136068,1.513557
0.020000,1.118828,3.010461,2.545486,1.717332,0.764531,-0.158282,1.520018
0.020000,1.120480,3.045072,2.580137,1.732551,0.760963,-0.178392,1.526131
0.020000,1.121938,3.079996,2.615091,1.747695,0.757185,-0.188933,1.531898
0.020000,1.123213,3.115228,2.650346,1.762760,0.753258,-0.196348,1.537320
0.020000,1.124311,3.150766,2.685901,1.777744,0.749185,-0.203644,1.542400
0.020000,1.125243,3.186607,2.721754,1.792644,0.745013,-0.208574,1.547140
0.020000,1.126018,3.222748,2.757903,1.807463,0.740968,-0.202289,1.551541
0.020000,1.126644,3.259186,2.794347,1.822202,0.736948,-0.200993,1.555605
0.020000,1.127133,3.295920,2.831084,1.836863,0.733041,-0.195346,1.559333
0.020000,1.127493,3.332867,2.868033,1.847432,0.528429,-10.230616,1.562722
0.020000,1.127732,3.369472,2.904639,1.830292,-0.856967,-69.269787,1.565731
0.020000,1.127866,3.405246,2.940413,1.788703,-2.079474,-61.125336,1.568346
0.020000,1.127911,3.440163,2.975330,1.745851,-2.142591,-3.155836,1.570597
0.020000,1.127884,3.474199,3.009365,1.701787,-2.203218,-3.031368,1.572509
0.020000,1.127800,3.507330,3.042497,1.656558,-2.261413,-2.909755,1.574111
0.020000,1.127672,3.539534,3.074701,1.610215,-2.317175,-2.788115,1.575428
0.020000,1.127510,3.570789,3.105957,1.562801,-2.370673,-2.674863,1.576484
0.020000,1.127325,3.601076,3.136244,1.514362,-2.421968,-2.564779,1.577303
0.020000,1.127125,3.630374,3.165543,1.464940,-2.471085,-2.455853,1.577907
0.020000,1.126918,3.658665,3.193835,1.414577,-2.518142,-2.352823,1.578317
0.020000,1.126709,3.685931,3.221101,1.363314,-2.563164,-2.251124,1.578555
0.020000,1.126504,3.712154,3.247325,1.311190,-2.606193,-2.151461,1.578639
0.020000,1.126307,3.737318,3.272490,1.258244,-2.647294,-2.055037,1.578589
0.020000,1.126121,3.761407,3.296580,1.204515,-2.686483,-1.959451,1.578423
0.020000,1.125948,3.784407,3.319581,1.150039,-2.723787,-1.865206,1.578157
0.020000,1.125791,3.806304,3.341478,1.094854,-2.759252,-1.773258,1.577808
0.020000,1.125649,3.827083,3.362258,1.038997,-2.792858,-1.680262,1.577392
0.020000,1.125524,3.846733,3.381908,0.982504,-2.824661,-1.590147,1.576922
0.020000,1.125416,3.865241,3.400416,0.925411,-2.854618,-1.497877,1.576412
0.020000,1.125323,3.882596,3.417771,0.867755,-2.882797,-1.408933,1.575876
0.020000,1.125245,3.898787,3.433962,0.809573,-2.909139,-1.317104,1.575325
0.020000,1.125181,3.913805,3.448980,0.750899,-2.933675,-1.226804,1.574771
0.020000,1.125130,3.927640,3.462816,0.691770,-2.956431,-1.137830,1.574224
0.020000,1.125090,3.940285,3.475460,0.632224,-2.977342,-1.045527,1.573693
0.020000,1.125059,3.951730,3.486906,0.572295,-2.996441,-0.954942,1.573187
0.020000,1.125037,3.961971,3.497147,0.512020,-3.013735,-0.864693,1.572715
0.020000,1.125022,3.971000,3.506175,0.451437,-3.029163,-0.771426,1.572283
0.020000,1.125012,3.978811,3.513987,0.390581,-3.042804,-0.682016,1.571897
0.020000,1.125006,3.985401,3.520577,0.329489,-3.054571,-0.588366,1.571563
0.020000,1.125002,3.990765,3.525941,0.268199,-3.064503,-0.496617,1.571286
0.020000,1.125001,3.994900,3.530076,0.206747,-3.072600,-0.404826,1.571069
0.020000,1.125000,3.997803,3.532979,0.145171,-3.078811,-0.310550,1.570914
0.020000,1.125000,3.999473,3.534649,0.083507,-3.083200,-0.219456,1.570825
0.020000,1.125000,4.000000,3.535176,0.026328,-2.858928,11.213593,1.570796
0.020000,1.125000,4.000000,3.535176,0.000000,-1.316424,77.125223,1.570796
