dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000588,0.058824,2.941176,147.058824,6.281854
0.020000,0.000000,0.000000,0.002353,0.117647,2.941176,0.000000,6.282876
0.020000,0.002409,0.000002,0.005294,0.176471,2.941176,0.000000,0.001399
0.020000,0.006526,0.000012,0.009412,0.235294,2.941176,-0.000000,0.003799
0.020000,0.011820,0.000041,0.014706,0.294118,2.941176,0.000000,0.006901
0.020000,0.018291,0.000098,0.021176,0.352941,2.941176,0.000000,0.010719
0.020000,0.025937,0.000197,0.028824,0.411765,2.941176,-0.000000,0.015268
0.020000,0.034759,0.000355,0.037647,0.470588,2.941176,0.000000,0.020566
0.020000,0.044756,0.000591,0.047647,0.529412,2.941176,0.000000,0.026637
0.020000,0.055928,0.000927,0.058824,0.588235,2.941176,0.000000,0.033504
0.020000,0.068272,0.001388,0.071176,0.647059,2.941176,0.000000,0.041196
0.020000,0.081787,0.002003,0.084706,0.705882,2.941176,0.000000,0.049744
0.020000,0.096472,0.002803,0.099412,0.764706,2.941176,-0.000000,0.059183
0.020000,0.112321,0.003825,0.115294,0.823529,2.941176,0.000000,0.069551
0.020000,0.129332,0.005106,0.132353,0.882353,2.941176,0.000000,0.080890
0.020000,0.147498,0.006692,0.150588,0.941176,2.941176,0.000000,0.093243
0.020000,0.166812,0.008628,0.170000,1.000000,2.941176,0.000000,0.106657
0.020000,0.187267,0.010968,0.190588,1.058824,2.941176,0.000000,0.121183
0.020000,0.208851,0.013768,0.212353,1.117647,2.941176,0.000000,0.136871
0.020000,0.231550,0.017089,0.235294,1.176471,2.941176,0.000000,0.153775
0.020000,0.255348,0.020999,0.259412,1.235294,2.941176,0.000000,0.171947
0.020000,0.280225,0.025568,0.284706,1.294118,2.941176,0.000000,0.191439
0.020000,0.306158,0.030875,0.311176,1.352941,2.941176,0.000000,0.212299
0.020000,0.333118,0.036999,0.338824,1.411765,2.941176,0.000000,0.234573
0.020000,0.361070,0.044029,0.367647,1.470588,2.941176,0.000000,0.258295
0.020000,0.389976,0.052056,0.397647,1.529412,2.941176,-0.000000,0.283494
0.020000,0.419788,0.061173,0.428824,1.588235,2.941176,0.000000,0.310178
0.020000,0.450454,0.071480,0.461176,1.647059,2.941176,0.000000,0.338344
0.020000,0.481914,0.083075,0.494706,1.705882,2.941176,0.000000,0.367962
0.020000,0.514098,0.096058,0.529412,1.764706,2.941176,0.000000,0.398979
0.020000,0.546931,0.110529,0.565294,1.823529,2.941176,0.000000,0.431310
0.020000,0.580330,0.126583,0.602353,1.882353,2.941176,0.000000,0.464838
0.020000,0.614205,0.144311,0.640588,1.941176,2.941176,0.000000,0.499413
0.020000,0.648461,0.163796,0.680000,2.000000,2.941176,0.000000,0.534848
0.020000,0.682505,0.184793,0.720000,2.000000,0.000000,-147.058824,0.570407
0.020000,0.715786,0.206978,0.760000,2.000000,0.000000,0.000000,0.605367
0.020000,0.748281,0.230300,0.800000,2.000000,0.000000,0.000000,0.639550
0.020000,0.779971,0.254705,0.840000,2.000000,0.000000,0.000000,0.672792
0.020000,0.810845,0.280134,0.880000,2.000000,0.000000,0.000000,0.704952
0.020000,0.840902,0.306524,0.920000,2.000000,0.000000,0.000000,0.735912
0.020000,0.870145,0.333814,0.960000,2.000000,0.000000,0.000000,0.765574
0.020000,0.898586,0.361939,1.000000,2.000000,0.000000,0.000000,0.793865
0.020000,0.926239,0.390839,1.040000,2.000000,0.000000,0.000000,0.820732
0.020000,0.953128,0.420451,1.080000,2.000000,0.000000,0.000000,0.846143
0.020000,0.979279,0.450718,1.120000,2.000000,0.000000,0.000000,0.870081
0.020000,1.004720,0.481583,1.160000,2.000000,0.000000,0.000000,0.892544
0.020000,1.029485,0.512994,1.200000,2.000000,0.000000,0.000000,0.913542
0.020000,1.053608,0.544901,1.240000,2.000000,0.000000,0.000000,0.933094
0.020000,1.077125,0.577257,1.280000,2.000000,0.000000,0.000000,0.951225
0.020000,1.100075,0.610017,1.320000,2.000000,0.000000,0.000000,0.967967
0.020000,1.122496,0.643142,1.360000,2.000000,0.000000,0.000000,0.983353
0.020000,1.144427,0.676594,1.400000,2.000000,0.000000,0.000000,0.997418
0.020000,1.165907,0.710337,1.440000,2.000000,0.000000,0.000000,1.010200
0.020000,1.186975,0.744338,1.480000,2.000000,0.000000,0.000000,1.021732
0.020000,1.207671,0.778568,1.520000,2.000000,0.000000,0.000000,1.032049
0.020000,1.228033,0.812997,1.560000,2.000000,0.000000,0.000000,1.041183
0.020000,1.248100,0.847600,1.600000,2.000000,0.000000,0.000000,1.049163
0.020000,1.267910,0.882350,1.640000,2.000000,0.000000,0.000000,1.056015
0.020000,1.287500,0.917224,1.680000,2.000000,0.000000,0.000000,1.061763
0.020000,1.306909,0.952200,1.720000,2.000000,0.000000,0.000000,1.066427
0.020000,1.326173,0.987255,1.760000,2.000000,0.000000,0.000000,1.070024
0.020000,1.345329,1.022370,1.800000,2.000000,0.000000,0.000000,1.072565
0.020000,1.364415,1.057523,1.840000,2.000000,0.000000,0.000000,1.074061
