dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.001165,-0.874999,0.000588,0.058824,2.941176,147.058824,6.281854
0.020000,-0.000270,-0.875000,0.001483,0.044725,-0.704931,-182.305397,6.282876
0.020000,0.003632,-0.874997,0.005385,0.195132,7.520371,411.265113,0.001399
0.020000,0.009850,-0.874981,0.011603,0.310887,5.787748,-86.631128,0.003799
0.020000,0.017858,-0.874938,0.019612,0.400423,4.476786,-65.548089,0.006901
0.020000,0.027670,-0.874852,0.029423,0.490582,4.507933,1.557348,0.010719
0.020000,0.039295,-0.874701,0.041050,0.581338,4.537798,1.493220,0.015268
0.020000,0.052754,-0.874460,0.054510,0.673010,4.583633,2.291735,0.020566
0.020000,0.068061,-0.874099,0.069822,0.765593,4.629125,2.274612,0.026637
0.020000,0.085238,-0.873582,0.087007,0.859258,4.683237,2.705624,0.033504
0.020000,0.104308,-0.872870,0.106090,0.954145,4.744350,3.055647,0.041196
0.020000,0.125295,-0.871915,0.127099,1.050441,4.814831,3.524035,0.049744
0.020000,0.148227,-0.870665,0.150065,1.148284,4.892149,3.865890,0.059183
0.020000,0.173129,-0.869060,0.175019,1.247705,4.971043,3.944740,0.069551
0.020000,0.200033,-0.867033,0.201999,1.349009,5.065206,4.708112,0.080890
0.020000,0.228967,-0.864507,0.231043,1.452183,5.158716,4.675505,0.093243
0.020000,0.259961,-0.861400,0.262192,1.557470,5.264337,5.281038,0.106657
0.020000,0.293043,-0.857615,0.295490,1.664889,5.370966,5.331461,0.121183
0.020000,0.328239,-0.853049,0.330981,1.774575,5.484267,5.665077,0.136871
0.020000,0.365573,-0.847586,0.368713,1.886573,5.599909,5.782073,0.153775
0.020000,0.405061,-0.841098,0.408730,2.000855,5.714084,5.708743,0.171947
0.020000,0.446713,-0.833447,0.451079,2.117444,5.829456,5.768609,0.191439
0.020000,0.490528,-0.824481,0.495801,2.236142,5.934894,5.271914,0.212299
0.020000,0.536492,-0.814038,0.542937,2.356765,6.031157,4.813135,0.234573
0.020000,0.584574,-0.801944,0.592516,2.478981,6.110788,3.981544,0.258295
0.020000,0.634723,-0.788018,0.644564,2.602364,6.169192,2.920193,0.283494
0.020000,0.686863,-0.772071,0.699088,2.726198,6.191694,1.125133,0.310178
0.020000,0.740889,-0.753913,0.756084,2.849805,6.180342,-0.567611,0.338344
0.020000,0.796664,-0.733355,0.815527,2.972156,6.117542,-3.139978,0.367962
0.020000,0.854016,-0.710217,0.877370,3.092151,5.999769,-5.888662,0.398979
0.020000,0.912735,-0.684337,0.941539,3.208449,5.814878,-9.244562,0.431310
0.020000,0.972573,-0.655574,1.007932,3.319633,5.559201,-12.783855,0.464838
0.020000,1.033251,-0.623820,1.076416,3.424236,5.230157,-16.452172,0.499413
0.020000,1.094458,-0.589007,1.146830,3.520693,4.822823,-20.366716,0.534848
0.020000,1.154982,-0.551678,1.217941,3.555526,1.741652,-154.058560,0.570407
0.020000,1.213717,-0.512529,1.288527,3.529339,-1.309319,-152.548533,0.605367
0.020000,1.270511,-0.471769,1.358433,3.495302,-1.701858,-19.626965,0.639550
0.020000,1.325246,-0.429619,1.427517,3.454189,-2.055629,-17.688561,0.672792
0.020000,1.377843,-0.386303,1.495655,3.406871,-2.365946,-15.515826,0.704952
0.020000,1.428257,-0.342042,1.562741,3.354336,-2.626743,-13.039852,0.735912
0.020000,1.476477,-0.297048,1.628693,3.297589,-2.837313,-10.528511,0.765574
0.020000,1.522520,-0.251518,1.693445,3.237618,-2.998587,-8.063673,0.793865
0.020000,1.566429,-0.205636,1.756953,3.175354,-3.113195,-5.730426,0.820732
0.020000,1.608266,-0.159565,1.819185,3.111640,-3.185669,-3.623681,0.846143
0.020000,1.648112,-0.113451,1.880130,3.047208,-3.221611,-1.797134,0.870081
0.020000,1.686057,-0.067421,1.939783,2.982698,-3.225509,-0.194864,0.892544
0.020000,1.722198,-0.021583,1.998156,2.918604,-3.204676,1.041630,0.913542
0.020000,1.756640,0.023969,2.055262,2.855346,-3.162931,2.087249,0.933094
0.020000,1.789487,0.069156,2.111127,2.793207,-3.106950,2.799030,0.951225
0.020000,1.820843,0.113914,2.165775,2.732420,-3.039320,3.381534,0.967967
0.020000,1.850811,0.158187,2.219237,2.673112,-2.965402,3.695908,0.983353
0.020000,1.879491,0.201930,2.271544,2.615353,-2.887994,3.870364,0.997418
0.020000,1.906978,0.245107,2.322728,2.559164,-2.809406,3.929412,1.010200
0.020000,1.933362,0.287685,2.372818,2.504522,-2.732141,3.863269,1.021732
0.020000,1.958729,0.329640,2.421845,2.451361,-2.658010,3.706512,1.032049
0.020000,1.983160,0.370948,2.469837,2.399595,-2.588301,3.485479,1.041183
0.020000,2.006730,0.411590,2.516819,2.349113,-2.524104,3.209819,1.049163
0.020000,2.029510,0.451548,2.562815,2.299788,-2.466285,2.890972,1.056015
0.020000,2.051564,0.490808,2.607845,2.251484,-2.415180,2.555256,1.061763
0.020000,2.072953,0.529352,2.651926,2.204053,-2.371554,2.181314,1.066427
0.020000,2.093733,0.567165,2.695073,2.157340,-2.335624,1.796476,1.070024
0.020000,2.113955,0.604231,2.737297,2.111187,-2.307656,1.398402,1.072565
0.020000,2.133665,0.640535,2.778605,2.065434,-2.287644,1.000628,1.074061
0.020000,2.152906,0.676057,2.819004,2.019918,-2.275827,0.590826,1.074516
0.020000,2.171716,0.710778,2.858493,1.974473,-2.272253,0.178719,1.073933
0.020000,2.190130,0.744679,2.897072,1.928936,-2.276852,-0.229981,1.072308
0.020000,2.208178,0.777736,2.934735,1.883141,-2.289720,-0.643403,1.069637
0.020000,2.225885,0.809925,2.971473,1.836927,-2.310728,-1.050400,1.065910
0.020000,2.243275,0.841221,3.007276,1.790133,-2.339707,-1.448917,1.061113
0.020000,2.260366,0.871595,3.042128,1.742600,-2.376633,-1.846300,1.055230
0.020000,2.277171,0.901017,3.076011,1.694175,-2.421253,-2.231010,1.048239
0.020000,2.293701,0.929457,3.108905,1.644712,-2.473140,-2.594368,1.040119
0.020000,2.309961,0.956880,3.140787,1.594075,-2.531877,-2.936837,1.030840
0.020000,2.325535,0.982581,3.170838,1.502562,-4.575629,-102.187601,1.022675
0.020000,2.353252,1.028800,3.224732,2.694668,59.605277,3209.045274,1.038554
0.020000,2.380246,1.075480,3.278654,2.696138,0.073526,-2976.587518,1.054466
0.020000,2.406499,1.122594,3.332589,2.696746,0.030395,-2.156555,1.070393
0.020000,2.431996,1.170117,3.386520,2.696523,-0.011173,-2.078416,1.086314
0.020000,2.456724,1.218019,3.440428,2.695399,-0.056189,-2.250809,1.102209
0.020000,2.480670,1.266272,3.494296,2.693400,-0.099961,-2.188567,1.118059
0.020000,2.503825,1.314845,3.548106,2.690525,-0.143715,-2.187703,1.133843
0.020000,2.526182,1.363709,3.601841,2.686756,-0.188447,-2.236606,1.149541
0.020000,2.547734,1.412831,3.655484,2.682114,-0.232096,-2.182432,1.165133
0.020000,2.568478,1.462181,3.709016,2.676612,-0.275120,-2.151211,1.180599
0.020000,2.588412,1.511726,3.762421,2.670267,-0.317246,-2.106305,1.195920
0.020000,2.607538,1.561436,3.815683,2.663103,-0.358220,-2.048696,1.211077
0.020000,2.625857,1.611279,3.868786,2.655146,-0.397810,-1.979527,1.226052
0.020000,2.643376,1.661225,3.921715,2.646430,-0.435812,-1.900067,1.240828
0.020000,2.660100,1.711243,3.974455,2.636992,-0.471930,-1.805935,1.255389
0.020000,2.676038,1.761304,4.026992,2.626867,-0.506228,-1.714855,1.269718
0.020000,2.691201,1.811380,4.079314,2.616094,-0.538673,-1.622255,1.283800
0.020000,2.705601,1.861445,4.131408,2.604717,-0.568828,-1.507749,1.297623
0.020000,2.719252,1.911472,4.183264,2.592784,-0.596643,-1.390792,1.311173
0.020000,2.732168,1.961436,4.234871,2.580335,-0.622471,-1.291369,1.324438
0.020000,2.744366,2.011314,4.286219,2.567414,-0.646048,-1.178867,1.337408
0.020000,2.755864,2.061085,4.337300,2.554070,-0.667198,-1.057475,1.350073
0.020000,2.766680,2.110727,4.388107,2.540343,-0.686350,-0.957618,1.362424
0.020000,2.776834,2.160222,4.438633,2.526277,-0.703305,-0.847726,1.374453
0.020000,2.786345,2.209552,4.488871,2.511915,-0.718084,-0.738955,1.386155
0.020000,2.795234,2.258700,4.538817,2.497295,-0.731024,-0.647007,1.397522
0.020000,2.803523,2.307652,4.588466,2.482455,-0.741963,-0.546966,1.408549
0.020000,2.811234,2.356395,4.637815,2.467432,-0.751149,-0.459283,1.419234
0.020000,2.818387,2.404916,4.686860,2.452260,-0.758633,-0.374194,1.429572
0.020000,2.825005,2.453204,4.735599,2.436968,-0.764610,-0.298866,1.439560
0.020000,2.831110,2.501249,4.784031,2.421586,-0.769066,-0.222809,1.449196
0.020000,2.836724,2.549043,4.832154,2.406141,-0.772263,-0.159830,1.458479
0.020000,2.841870,2.596579,4.879967,2.390655,-0.774278,-0.100750,1.467409
0.020000,2.846569,2.643849,4.927470,2.375153,-0.775132,-0.042732,1.475984
0.020000,2.850842,2.690848,4.974663,2.359650,-0.775158,-0.001259,1.484205
0.020000,2.854712,2.737571,5.021546,2.344165,-0.774249,0.045441,1.492071
0.020000,2.858199,2.784015,5.068120,2.328713,-0.772601,0.082393,1.499585
0.020000,2.861324,2.830175,5.114386,2.313304,-0.770451,0.107493,1.506746
0.020000,2.864109,2.876050,5.160345,2.297951,-0.767645,0.140323,1.513557
0.020000,2.866572,2.921636,5.205999,2.282662,-0.764434,0.160529,1.520018
0.020000,2.868734,2.966934,5.251348,2.267443,-0.760967,0.173344,1.526131
0.020000,2.870615,3.011940,5.296394,2.252299,-0.757182,0.189264,1.531898
0.020000,2.872232,3.056656,5.341138,2.237235,-0.753178,0.200190,1.537320
0.020000,2.873606,3.101080,5.385583,2.222253,-0.749115,0.203146,1.542400
0.020000,2.874754,3.145212,5.429730,2.207352,-0.745077,0.201907,1.547140
0.020000,2.875693,3.189052,5.473581,2.192533,-0.740920,0.207825,1.551541
0.020000,2.876442,3.232602,5.517137,2.177795,-0.736893,0.201371,1.555605
0.020000,2.877018,3.275861,5.560400,2.163135,-0.732996,0.194855,1.559333
0.020000,2.877436,3.318737,5.603278,2.143922,-0.960675,-11.383940,1.562722
0.020000,2.877710,3.360608,5.645150,2.093594,-2.516398,-77.786176,1.565731
0.020000,2.877860,3.400959,5.685501,2.017536,-3.802917,-64.325933,1.568346
0.020000,2.877911,3.439813,5.724355,1.942742,-3.739701,3.160810,1.570597
0.020000,2.877882,3.477197,5.761739,1.869160,-3.679095,3.030294,1.572509
0.020000,2.877791,3.513131,5.797673,1.796740,-3.620974,2.906039,1.574111
0.020000,2.877653,3.547640,5.832182,1.725437,-3.565160,2.790718,1.575428
0.020000,2.877482,3.580743,5.865286,1.655204,-3.511666,2.674703,1.576484
0.020000,2.877288,3.612463,5.897006,1.585996,-3.460402,2.563180,1.577303
0.020000,2.877081,3.642817,5.927362,1.517771,-3.411252,2.457512,1.577907
0.020000,2.876868,3.671826,5.956371,1.450486,-3.364212,2.352012,1.578317
0.020000,2.876656,3.699508,5.984053,1.384103,-3.319196,2.250753,1.578555
0.020000,2.876450,3.725878,6.010425,1.318579,-3.276152,2.152225,1.578639
0.020000,2.876254,3.750955,6.035503,1.253878,-3.235061,2.054532,1.578589
0.020000,2.876070,3.774754,6.059302,1.189961,-3.195872,1.959448,1.578423
0.020000,2.875901,3.797289,6.081838,1.126790,-3.158556,1.865828,1.578157
0.020000,2.875748,3.818575,6.103124,1.064327,-3.123112,1.772193,1.577808
0.020000,2.875611,3.838625,6.123175,1.002538,-3.089486,1.681306,1.577392
0.020000,2.875491,3.857452,6.142003,0.941384,-3.057708,1.588894,1.576922
0.020000,2.875388,3.875069,6.159619,0.880829,-3.027719,1.499431,1.576412
0.020000,2.875300,3.891485,6.176036,0.820838,-2.999573,1.407320,1.575876
0.020000,2.875227,3.906712,6.191263,0.761374,-2.973209,1.318209,1.575325
0.020000,2.875167,3.920760,6.205311,0.702400,-2.948656,1.227650,1.574771
0.020000,2.875119,3.933638,6.218189,0.643882,-2.925942,1.135695,1.574224
0.020000,2.875082,3.945353,6.229905,0.585781,-2.905011,1.046537,1.573693
0.020000,2.875054,3.955915,6.240466,0.528063,-2.885904,0.955346,1.573187
0.020000,2.875034,3.965328,6.249880,0.470691,-2.868637,0.863368,1.572715
0.020000,2.875020,3.973601,6.258152,0.413627,-2.853164,0.773641,1.572283
0.020000,2.875011,3.980738,6.265289,0.356836,-2.839567,0.679835,1.571897
0.020000,2.875005,3.986743,6.271295,0.300280,-2.827779,0.589397,1.571563
0.020000,2.875002,3.991622,6.276173,0.243923,-2.817845,0.496726,1.571286
0.020000,2.875001,3.995376,6.279928,0.187728,-2.809772,0.403660,1.571069
0.020000,2.875000,3.998010,6.282561,0.131658,-2.803522,0.312478,1.570914
0.020000,2.875000,3.999523,6.284074,0.075674,-2.799160,0.218107,1.570825
0.020000,2.875000,4.000000,6.284551,0.023850,-2.591220,10.397018,1.570796
0.020000,2.875000,4.000000,6.284551,0.000000,-1.192499,69.936016,1.570796
