dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000049,25.875000,0.000608,0.060809,3.040464,152.023200,6.283129
0.020000,0.000027,25.875000,0.000630,0.001111,-2.984923,-301.269357,6.283154
0.020000,0.001888,25.875000,0.002491,0.093043,4.596596,379.075939,0.000020
0.020000,0.009119,25.875000,0.009722,0.361539,13.424834,441.411908,0.000096
0.020000,0.018760,25.875002,0.019363,0.482071,6.026600,-369.911667,0.000196
0.020000,0.030812,25.875005,0.031416,0.602620,6.027409,0.040444,0.000321
0.020000,0.045276,25.875011,0.045880,0.723188,6.028420,0.050556,0.000470
0.020000,0.062152,25.875020,0.062755,0.843781,6.029634,0.060670,0.000643
0.020000,0.081440,25.875034,0.082043,0.964402,6.031050,0.070782,0.000838
0.020000,0.103141,25.875055,0.103744,1.085055,6.032667,0.080892,0.001056
0.020000,0.127256,25.875083,0.127859,1.205745,6.034488,0.091008,0.001294
0.020000,0.153785,25.875121,0.154389,1.326475,6.036510,0.101125,0.001553
0.020000,0.182730,25.875170,0.183334,1.447250,6.038734,0.111223,0.001832
0.020000,0.214092,25.875232,0.214695,1.568073,6.041162,0.121365,0.002128
0.020000,0.247871,25.875309,0.248474,1.688949,6.043790,0.131432,0.002441
0.020000,0.284068,25.875404,0.284672,1.809881,6.046623,0.141604,0.002771
0.020000,0.322685,25.875517,0.323289,1.930874,6.049656,0.151675,0.003114
0.020000,0.363724,25.875652,0.364328,2.051932,6.052892,0.161806,0.003470
0.020000,0.407185,25.875811,0.407789,2.173059,6.056330,0.171894,0.003838
0.020000,0.453069,25.875996,0.453674,2.294258,6.059971,0.182056,0.004215
0.020000,0.501380,25.876209,0.501985,2.415534,6.063813,0.192099,0.004599
0.020000,0.552117,25.876452,0.552723,2.536892,6.067858,0.202261,0.004990
0.020000,0.605283,25.876728,0.605889,2.658334,6.072105,0.212343,0.005385
0.020000,0.660879,25.877039,0.661487,2.779865,6.076555,0.222479,0.005782
0.020000,0.718908,25.877386,0.719516,2.901489,6.081205,0.232501,0.006179
0.020000,0.779371,25.877771,0.779981,3.023210,6.086059,0.242723,0.006573
0.020000,0.842270,25.878197,0.842881,3.145032,6.091114,0.252721,0.006963
0.020000,0.907608,25.878665,0.908220,3.266960,6.096372,0.262893,0.007345
0.020000,0.975386,25.879176,0.976000,3.388996,6.101831,0.272949,0.007718
0.020000,1.045606,25.879730,1.046223,3.511146,6.107492,0.283055,0.008079
0.020000,1.118272,25.880330,1.118892,3.633413,6.113355,0.293163,0.008426
0.020000,1.193386,25.880976,1.194008,3.755802,6.119420,0.303255,0.008754
0.020000,1.270949,25.881667,1.271574,3.878315,6.125687,0.313334,0.009062
0.020000,1.350965,25.882404,1.351593,4.000959,6.132155,0.323442,0.009347
0.020000,1.433436,25.883185,1.434068,4.123735,6.138827,0.333566,0.009605
0.020000,1.518364,25.884011,1.519001,4.246649,6.145699,0.343628,0.009834
0.020000,1.605754,25.884879,1.606395,4.369705,6.152775,0.353763,0.010029
0.020000,1.695608,25.885788,1.696253,4.492906,6.160051,0.363836,0.010189
0.020000,1.787928,25.886735,1.788578,4.616256,6.167531,0.373972,0.010309
0.020000,1.882718,25.887716,1.883373,4.739760,6.175213,0.384096,0.010386
0.020000,1.979981,25.888728,1.980642,4.863422,6.183097,0.394200,0.010416
0.020000,2.079721,25.889766,2.080387,4.987246,6.191183,0.404338,0.010396
0.020000,2.181940,25.890826,2.182611,5.111236,6.199473,0.414475,0.010321
0.020000,2.286643,25.891900,2.287319,5.235395,6.207965,0.424622,0.010189
0.020000,2.393832,25.892982,2.394514,5.359728,6.216661,0.434763,0.009994
0.020000,2.503511,25.894065,2.504199,5.484239,6.225559,0.444926,0.009734
0.020000,2.615685,25.895138,2.616377,5.608932,6.234661,0.455090,0.009403
0.020000,2.730356,25.896194,2.731054,5.733812,6.243966,0.465252,0.008997
0.020000,2.847529,25.897221,2.848231,5.858881,6.253474,0.475406,0.008513
0.020000,2.966597,25.898201,2.967303,5.953605,4.736208,-75.863312,0.007948
0.020000,3.085971,25.899113,3.086681,5.968880,0.763709,-198.624958,0.007309
0.020000,3.204059,25.899935,3.204772,5.904533,-3.217328,-199.051855,0.006605
0.020000,3.320005,25.900657,3.320720,5.797407,-5.356286,-106.947860,0.005844
0.020000,3.433564,25.901276,3.434280,5.678020,-5.969381,-30.654790,0.005032
0.020000,3.544731,25.901788,3.545449,5.558444,-5.978760,-0.468949,0.004173
0.020000,3.653504,25.902193,3.654223,5.438686,-5.987941,-0.459028,0.003272
0.020000,3.759879,25.902492,3.760598,5.318747,-5.996920,-0.448940,0.002332
0.020000,3.863851,25.902684,3.864570,5.198633,-6.005697,-0.438890,0.001358
0.020000,3.965418,25.902772,3.966137,5.078348,-6.014276,-0.428912,0.000354
0.020000,4.064576,25.902756,4.065295,4.957895,-6.022652,-0.418838,6.282508
0.020000,4.161322,25.902640,4.162041,4.837278,-6.030828,-0.408798,6.281454
0.020000,4.255651,25.902426,4.256371,4.716502,-6.038803,-0.398728,6.280381
0.020000,4.347562,25.902119,4.348282,4.595571,-6.046576,-0.388666,6.279292
0.020000,4.437051,25.901721,4.437772,4.474488,-6.054149,-0.378614,6.278191
0.020000,4.524115,25.901239,4.524837,4.353257,-6.061517,-0.368430,6.277081
0.020000,4.608751,25.900675,4.609475,4.231884,-6.068685,-0.358398,6.275965
0.020000,4.690956,25.900036,4.691682,4.110371,-6.075651,-0.348305,6.274847
0.020000,4.770727,25.899326,4.771457,3.988722,-6.082411,-0.338008,6.273729
0.020000,4.848062,25.898552,4.848795,3.866943,-6.088972,-0.328050,6.272616
0.020000,4.922958,25.897719,4.923696,3.745036,-6.095327,-0.317720,6.271509
0.020000,4.995413,25.896833,4.996156,3.623007,-6.101482,-0.307735,6.270411
0.020000,5.065424,25.895901,5.066173,3.500858,-6.107429,-0.297371,6.269325
0.020000,5.132989,25.894928,5.133745,3.378595,-6.113176,-0.287348,6.268254
0.020000,5.198105,25.893922,5.198870,3.256220,-6.118714,-0.276888,6.267201
0.020000,5.260772,25.892888,5.261545,3.133739,-6.124059,-0.267262,6.266167
0.020000,5.320985,25.891833,5.321768,3.011155,-6.129185,-0.256284,6.265155
0.020000,5.378745,25.890763,5.379537,2.888473,-6.134119,-0.246714,6.264167
0.020000,5.434048,25.889684,5.434851,2.765696,-6.138842,-0.236136,6.263206
0.020000,5.486894,25.888604,5.487708,2.642829,-6.143366,-0.226230,6.262274
0.020000,5.537280,25.887527,5.538105,2.519875,-6.147681,-0.215723,6.261372
0.020000,5.585205,25.886461,5.586042,2.396839,-6.151798,-0.205850,6.260502
0.020000,5.630667,25.885411,5.631516,2.273725,-6.155701,-0.195186,6.259667
0.020000,5.673666,25.884382,5.674527,2.150537,-6.159419,-0.185884,6.258867
0.020000,5.714199,25.883381,5.715073,2.027279,-6.162920,-0.175023,6.258105
0.020000,5.752266,25.882412,5.753152,1.903954,-6.166211,-0.164578,6.257382
0.020000,5.787865,25.881481,5.788763,1.780568,-6.169322,-0.155533,6.256700
0.020000,5.820995,25.880593,5.821906,1.657124,-6.172207,-0.144287,6.256059
0.020000,5.851656,25.879752,5.852578,1.533626,-6.174903,-0.134792,6.255461
0.020000,5.879847,25.878962,5.880780,1.410078,-6.177392,-0.124412,6.254907
0.020000,5.905566,25.878228,5.906509,1.286484,-6.179681,-0.114481,6.254398
0.020000,5.928813,25.877553,5.929766,1.162849,-6.181771,-0.104515,6.253935
0.020000,5.949588,25.876941,5.950550,1.039176,-6.183654,-0.094147,6.253520
0.020000,5.967889,25.876395,5.968859,0.915469,-6.185335,-0.084026,6.253152
0.020000,5.983716,25.875917,5.984694,0.791733,-6.186818,-0.074150,6.252832
0.020000,5.997070,25.875509,5.998053,0.667971,-6.188102,-0.064201,6.252562
0.020000,6.007948,25.875175,6.008937,0.544187,-6.189188,-0.054312,6.252341
0.020000,6.016352,25.874915,6.017345,0.420386,-6.190061,-0.043660,6.252170
0.020000,6.022280,25.874731,6.023276,0.296571,-6.190743,-0.034063,6.252049
0.020000,6.025734,25.874623,6.026731,0.172746,-6.191225,-0.024141,6.251978
0.020000,6.027086,25.874581,6.028084,0.067645,-5.255051,46.808746,6.251950
0.020000,6.027330,25.874573,6.028329,0.012229,-2.770806,124.212211,6.251945
0.020000,6.027330,25.874573,6.028329,0.000000,-0.611457,107.967473,6.251945
