dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000049,24.125000,0.000608,0.060809,3.040464,152.023200,6.283129
0.020000,-0.000027,24.125000,0.000630,0.001111,-2.984923,-301.269357,6.283154
0.020000,0.001923,24.125000,0.002580,0.097478,4.818355,390.163886,0.000020
0.020000,0.009286,24.125000,0.009943,0.368172,13.534702,435.817380,0.000096
0.020000,0.019104,24.125002,0.019761,0.490877,6.135255,-369.972334,0.000196
0.020000,0.031375,24.125005,0.032032,0.613566,6.134447,-0.040446,0.000321
0.020000,0.046100,24.125011,0.046757,0.736235,6.133435,-0.050558,0.000470
0.020000,0.063277,24.125020,0.063934,0.858879,6.132222,-0.060668,0.000643
0.020000,0.082907,24.125035,0.083564,0.981495,6.130806,-0.070781,0.000838
0.020000,0.104989,24.125056,0.105646,1.104079,6.129189,-0.080896,0.001056
0.020000,0.129521,24.125085,0.130178,1.226626,6.127368,-0.091007,0.001294
0.020000,0.156504,24.125123,0.157161,1.349133,6.125346,-0.101117,0.001553
0.020000,0.185936,24.125173,0.186593,1.471596,6.123121,-0.111245,0.001832
0.020000,0.217816,24.125236,0.218473,1.594010,6.120695,-0.121330,0.002128
0.020000,0.252143,24.125315,0.252801,1.716371,6.118065,-0.131491,0.002441
0.020000,0.288916,24.125410,0.289574,1.838676,6.115234,-0.141545,0.002771
0.020000,0.328135,24.125526,0.328793,1.960920,6.112200,-0.151701,0.003114
0.020000,0.369796,24.125663,0.370455,2.083099,6.108964,-0.161795,0.003470
0.020000,0.413900,24.125824,0.414559,2.205209,6.105525,-0.171930,0.003838
0.020000,0.460445,24.126012,0.461104,2.327247,6.101885,-0.181990,0.004215
0.020000,0.509429,24.126228,0.510088,2.449208,6.098042,-0.192167,0.004599
0.020000,0.560850,24.126474,0.561510,2.571088,6.093998,-0.202222,0.004990
0.020000,0.614707,24.126754,0.615367,2.692883,6.089751,-0.212355,0.005385
0.020000,0.670998,24.127068,0.671659,2.814589,6.085302,-0.222430,0.005782
0.020000,0.729721,24.127419,0.730383,2.936202,6.080650,-0.232617,0.006179
0.020000,0.790874,24.127809,0.791537,3.057718,6.075798,-0.242600,0.006573
0.020000,0.854455,24.128240,0.855120,3.179133,6.070742,-0.252805,0.006963
0.020000,0.920462,24.128712,0.921129,3.300442,6.065485,-0.262831,0.007345
0.020000,0.988893,24.129228,0.989562,3.421643,6.060025,-0.272972,0.007718
0.020000,1.059745,24.129787,1.060416,3.542730,6.054364,-0.283061,0.008079
0.020000,1.133017,24.130392,1.133690,3.663700,6.048501,-0.293146,0.008426
0.020000,1.208705,24.131043,1.209381,3.784549,6.042436,-0.303247,0.008754
0.020000,1.286807,24.131739,1.287487,3.905272,6.036169,-0.313360,0.009062
0.020000,1.367321,24.132480,1.368004,4.025866,6.029700,-0.323447,0.009347
0.020000,1.450244,24.133266,1.450931,4.146327,6.023030,-0.333520,0.009605
0.020000,1.535573,24.134096,1.536264,4.266650,6.016157,-0.343660,0.009834
0.020000,1.623305,24.134967,1.624000,4.386832,6.009082,-0.353733,0.010029
0.020000,1.713438,24.135879,1.714138,4.506868,6.001804,-0.363875,0.010189
0.020000,1.805968,24.136828,1.806673,4.626754,5.994325,-0.373964,0.010309
0.020000,1.900893,24.137810,1.901603,4.746487,5.986644,-0.384076,0.010386
0.020000,1.998209,24.138823,1.998924,4.866062,5.978759,-0.394219,0.010416
0.020000,2.097913,24.139861,2.098633,4.985476,5.970672,-0.404342,0.010396
0.020000,2.200002,24.140919,2.200728,5.104724,5.962383,-0.414479,0.010321
0.020000,2.304473,24.141991,2.305204,5.223801,5.953890,-0.424623,0.010189
0.020000,2.411321,24.143069,2.412058,5.342705,5.945195,-0.434785,0.009994
0.020000,2.520545,24.144147,2.521286,5.461431,5.936296,-0.444937,0.009734
0.020000,2.632139,24.145216,2.632886,5.579975,5.927194,-0.455100,0.009403
0.020000,2.746101,24.146265,2.746853,5.698333,5.917889,-0.465270,0.008997
0.020000,2.862426,24.147284,2.863183,5.816500,5.908380,-0.475449,0.008513
0.020000,2.980506,24.148257,2.981267,5.904204,4.385183,-76.159856,0.007948
0.020000,3.098762,24.149160,3.099526,5.912951,0.437339,-197.392197,0.007309
0.020000,3.215617,24.149973,3.216384,5.842911,-3.501967,-196.965257,0.006605
0.020000,3.330232,24.150687,3.331000,5.730821,-5.604521,-105.127723,0.005844
0.020000,3.442369,24.151298,3.443140,5.606971,-6.192477,-29.397812,0.005032
0.020000,3.552034,24.151803,3.552806,5.483310,-6.183096,0.469066,0.004173
0.020000,3.659230,24.152203,3.660003,5.359831,-6.173917,0.458933,0.003272
0.020000,3.763961,24.152497,3.764733,5.236532,-6.164938,0.448967,0.002332
0.020000,3.866229,24.152686,3.867001,5.113409,-6.156159,0.438958,0.001358
0.020000,3.966038,24.152772,3.966811,4.990458,-6.147581,0.428870,0.000354
