dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000049,25.875000,0.000588,0.058824,2.941176,147.058824,6.283129
0.020000,0.000033,25.875000,0.000604,0.000806,-2.900874,-292.102524,6.283147
0.020000,0.000006,25.875000,0.000631,0.001342,0.026789,146.383174,6.283178
0.020000,0.003381,25.875000,0.004005,0.168713,8.368557,417.088362,0.000036
0.020000,0.008627,25.875000,0.009251,0.262301,4.679377,-184.458999,0.000090
0.020000,0.015039,25.875001,0.015663,0.320598,2.914884,-88.224650,0.000157
0.020000,0.022617,25.875003,0.023241,0.378901,2.915144,0.013010,0.000236
0.020000,0.031361,25.875005,0.031986,0.437210,2.915451,0.015374,0.000327
0.020000,0.041271,25.875009,0.041896,0.495526,2.915806,0.017743,0.000429
0.020000,0.052348,25.875014,0.052973,0.553850,2.916208,0.020102,0.000543
0.020000,0.064592,25.875022,0.065217,0.612184,2.916658,0.022476,0.000668
0.020000,0.078003,25.875032,0.078627,0.670527,2.917155,0.024836,0.000804
0.020000,0.092580,25.875044,0.093205,0.728881,2.917699,0.027201,0.000950
0.020000,0.108325,25.875061,0.108950,0.787246,2.918290,0.029577,0.001107
0.020000,0.125238,25.875081,0.125862,0.845625,2.918929,0.031933,0.001275
0.020000,0.143318,25.875105,0.143943,0.904017,2.919615,0.034296,0.001452
0.020000,0.162566,25.875135,0.163191,0.962424,2.920348,0.036667,0.001638
0.020000,0.182983,25.875171,0.183608,1.020847,2.921129,0.039043,0.001834
0.020000,0.204569,25.875212,0.205194,1.079286,2.921957,0.041389,0.002039
0.020000,0.227324,25.875261,0.227949,1.137743,2.922832,0.043775,0.002252
0.020000,0.251248,25.875318,0.251873,1.196218,2.923755,0.046122,0.002472
0.020000,0.276342,25.875383,0.276967,1.254712,2.924725,0.048497,0.002701
0.020000,0.302607,25.875457,0.303232,1.313227,2.925742,0.050877,0.002936
0.020000,0.330042,25.875541,0.330667,1.371763,2.926806,0.053203,0.003178
0.020000,0.358648,25.875635,0.359274,1.430322,2.927919,0.055620,0.003427
0.020000,0.388426,25.875741,0.389052,1.488903,2.929077,0.057946,0.003680
0.020000,0.419376,25.875859,0.420002,1.547509,2.930284,0.060325,0.003939
0.020000,0.451498,25.875989,0.452125,1.606140,2.931538,0.062707,0.004202
0.020000,0.484794,25.876134,0.485421,1.664796,2.932839,0.065022,0.004469
0.020000,0.519263,25.876293,0.519890,1.723480,2.934188,0.067455,0.004739
0.020000,0.554907,25.876466,0.555534,1.782192,2.935583,0.069765,0.005011
0.020000,0.591725,25.876656,0.592353,1.840932,2.937026,0.072147,0.005286
0.020000,0.629718,25.876862,0.630347,1.899703,2.938517,0.074531,0.005562
0.020000,0.668888,25.877085,0.669517,1.958504,2.940054,0.076857,0.005838
0.020000,0.708649,25.877323,0.709279,1.988097,1.479667,-73.019326,0.006110
