dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,25.000000,0.000588,0.058824,2.941176,147.058824,6.283129
0.020000,0.000000,25.000000,0.002353,0.117647,2.941176,0.000000,6.283147
0.020000,0.000000,25.000000,0.005294,0.176471,2.941176,0.000000,6.283178
0.020000,0.003412,25.000000,0.009412,0.235294,2.941176,-0.000000,0.000036
0.020000,0.008706,25.000000,0.014706,0.294118,2.941176,0.000000,0.000090
0.020000,0.015176,25.000001,0.021176,0.352941,2.941176,0.000000,0.000157
0.020000,0.022824,25.000003,0.028824,0.411765,2.941176,-0.000000,0.000236
0.020000,0.031647,25.000005,0.037647,0.470588,2.941176,0.000000,0.000327
0.020000,0.041647,25.000009,0.047647,0.529412,2.941176,0.000000,0.000429
0.020000,0.052824,25.000014,0.058824,0.588235,2.941176,0.000000,0.000543
0.020000,0.065176,25.000022,0.071176,0.647059,2.941176,0.000000,0.000668
0.020000,0.078706,25.000032,0.084706,0.705882,2.941176,0.000000,0.000804
0.020000,0.093412,25.000045,0.099412,0.764706,2.941176,-0.000000,0.000950
0.020000,0.109294,25.000061,0.115294,0.823529,2.941176,0.000000,0.001107
0.020000,0.126353,25.000081,0.132353,0.882353,2.941176,0.000000,0.001275
0.020000,0.144588,25.000106,0.150588,0.941176,2.941176,0.000000,0.001452
0.020000,0.164000,25.000136,0.170000,1.000000,2.941176,0.000000,0.001638
0.020000,0.184588,25.000172,0.190588,1.058824,2.941176,0.000000,0.001834
0.020000,0.206353,25.000214,0.212353,1.117647,2.941176,0.000000,0.002039
0.020000,0.229294,25.000263,0.235294,1.176471,2.941176,0.000000,0.002252
0.020000,0.253411,25.000320,0.259412,1.235294,2.941176,0.000000,0.002472
0.020000,0.278706,25.000386,0.284706,1.294118,2.941176,0.000000,0.002701
0.020000,0.305176,25.000460,0.311176,1.352941,2.941176,0.000000,0.002936
0.020000,0.332823,25.000545,0.338824,1.411765,2.941176,0.000000,0.003178
0.020000,0.361646,25.000640,0.367647,1.470588,2.941176,0.000000,0.003427
0.020000,0.391646,25.000747,0.397647,1.529412,2.941176,-0.000000,0.003680
0.020000,0.422822,25.000866,0.428824,1.588235,2.941176,0.000000,0.003939
0.020000,0.455175,25.000997,0.461176,1.647059,2.941176,0.000000,0.004202
0.020000,0.488704,25.001143,0.494706,1.705882,2.941176,0.000000,0.004469
0.020000,0.523410,25.001302,0.529412,1.764706,2.941176,0.000000,0.004739
0.020000,0.559292,25.001477,0.565294,1.823529,2.941176,0.000000,0.005011
0.020000,0.596350,25.001668,0.602353,1.882353,2.941176,0.000000,0.005286
0.020000,0.634585,25.001876,0.640588,1.941176,2.941176,0.000000,0.005562
0.020000,0.673996,25.002100,0.680000,2.000000,2.941176,0.000000,0.005838
0.020000,0.713995,25.002339,0.720000,2.000000,0.000000,-147.058824,0.006110
0.020000,0.753994,25.002589,0.760000,2.000000,0.000000,0.000000,0.006374
0.020000,0.793993,25.002849,0.800000,2.000000,0.000000,0.000000,0.006629
0.020000,0.833993,25.003119,0.840000,2.000000,0.000000,0.000000,0.006876
0.020000,0.873992,25.003399,0.880000,2.000000,0.000000,0.000000,0.007115
0.020000,0.913990,25.003688,0.920000,2.000000,0.000000,0.000000,0.007345
0.020000,0.953989,25.003986,0.960000,2.000000,0.000000,0.000000,0.007567
0.020000,0.993988,25.004293,1.000000,2.000000,0.000000,0.000000,0.007781
0.020000,1.033987,25.004609,1.040000,2.000000,0.000000,0.000000,0.007986
0.020000,1.073986,25.004932,1.080000,2.000000,0.000000,0.000000,0.008183
0.020000,1.113984,25.005263,1.120000,2.000000,0.000000,0.000000,0.008372
0.020000,1.153983,25.005602,1.160000,2.000000,0.000000,0.000000,0.008553
0.020000,1.193981,25.005947,1.200000,2.000000,0.000000,0.000000,0.008725
0.020000,1.233980,25.006300,1.240000,2.000000,0.000000,0.000000,0.008888
0.020000,1.273978,25.006658,1.280000,2.000000,0.000000,0.000000,0.009044
0.020000,1.313977,25.007023,1.320000,2.000000,0.000000,0.000000,0.009191
0.020000,1.353975,25.007394,1.360000,2.000000,0.000000,0.000000,0.009330
0.020000,1.393973,25.007769,1.400000,2.000000,0.000000,0.000000,0.009460
0.020000,1.433971,25.008150,1.440000,2.000000,0.000000,0.000000,0.009582
0.020000,1.473969,25.008536,1.480000,2.000000,0.000000,0.000000,0.009696
0.020000,1.513967,25.008926,1.520000,2.000000,0.000000,0.000000,0.009801
0.020000,1.553966,25.009320,1.560000,2.000000,0.000000,0.000000,0.009898
0.020000,1.593964,25.009717,1.600000,2.000000,0.000000,0.000000,0.009987
0.020000,1.633962,25.010119,1.640000,2.000000,0.000000,0.000000,0.010067
0.020000,1.673960,25.010523,1.680000,2.000000,0.000000,0.000000,0.010139
0.020000,1.713957,25.010930,1.720000,2.000000,0.000000,0.000000,0.010203
0.020000,1.753955,25.011339,1.760000,2.000000,0.000000,0.000000,0.010259
0.020000,1.793953,25.011750,1.800000,2.000000,0.000000,0.000000,0.010306
0.020000,1.833951,25.012163,1.840000,2.000000,0.000000,0.000000,0.010344
0.020000,1.873949,25.012578,1.880000,2.000000,0.000000,0.000000,0.010375
0.020000,1.913947,25.012993,1.920000,2.000000,0.000000,0.000000,0.010397
0.020000,1.953945,25.013409,1.960000,2.000000,0.000000,0.000000,0.010411
0.020000,1.993942,25.013826,2.000000,2.000000,0.000000,0.000000,0.010416
0.020000,2.033940,25.014242,2.040000,2.000000,0.000000,0.000000,0.010413
0.020000,2.073938,25.014659,2.080000,2.000000,0.000000,0.000000,0.010402
0.020000,2.113936,25.015074,2.120000,2.000000,0.000000,0.000000,0.010382
0.020000,2.153934,25.015489,2.160000,2.000000,0.000000,0.000000,0.010355
0.020000,2.193932,25.015903,2.200000,2.000000,0.000000,0.000000,0.010318
0.020000,2.233930,25.016315,2.240000,2.000000,0.000000,0.000000,0.010274
0.020000,2.273927,25.016724,2.280000,2.000000,0.000000,0.000000,0.010221
0.020000,2.313925,25.017132,2.320000,2.000000,0.000000,0.000000,0.010160
0.020000,2.353923,25.017537,2.360000,2.000000,0.000000,0.000000,0.010090
0.020000,2.393921,25.017939,2.400000,2.000000,0.000000,0.000000,0.010012
0.020000,2.433919,25.018338,2.440000,2.000000,0.000000,0.000000,0.009926
0.020000,2.473917,25.018733,2.480000,2.000000,0.000000,0.000000,0.009831
0.020000,2.513915,25.019124,2.520000,2.000000,0.000000,0.000000,0.009729
0.020000,2.553914,25.019511,2.560000,2.000000,0.000000,0.000000,0.009617
0.020000,2.593912,25.019894,2.600000,2.000000,0.000000,0.000000,0.009498
0.020000,2.633910,25.020271,2.640000,2.000000,0.000000,0.000000,0.009370
0.020000,2.673908,25.020643,2.680000,2.000000,0.000000,0.000000,0.009234
0.020000,2.713907,25.021010,2.720000,2.000000,0.000000,0.000000,0.009089
0.020000,2.753905,25.021370,2.760000,2.000000,0.000000,0.000000,0.008936
0.020000,2.793903,25.021724,2.800000,2.000000,0.000000,0.000000,0.008775
0.020000,2.833902,25.022072,2.840000,2.000000,0.000000,0.000000,0.008606
0.020000,2.873900,25.022413,2.880000,2.000000,0.000000,0.000000,0.008428
0.020000,2.913899,25.022746,2.920000,2.000000,0.000000,0.000000,0.008241
0.020000,2.953898,25.023072,2.960000,2.000000,0.000000,0.000000,0.008047
0.020000,2.993896,25.023390,3.000000,2.000000,0.000000,0.000000,0.007844
0.020000,3.033895,25.023699,3.040000,2.000000,0.000000,0.000000,0.007633
0.020000,3.073894,25.024000,3.080000,2.000000,0.000000,0.000000,0.007413
0.020000,3.113893,25.024292,3.120000,2.000000,0.000000,0.000000,0.007185
0.020000,3.153892,25.024575,3.160000,2.000000,0.000000,0.000000,0.006949
0.020000,3.193891,25.024848,3.200000,2.000000,0.000000,0.000000,0.006705
0.020000,3.233890,25.025111,3.240000,2.000000,0.000000,0.000000,0.006452
0.020000,3.273889,25.025364,3.280000,2.000000,0.000000,0.000000,0.006191
0.020000,3.313889,25.025606,3.320000,2.000000,0.000000,0.000000,0.005921
0.020000,3.353888,25.025838,3.360000,2.000000,0.000000,0.000000,0.005643
0.020000,3.393887,25.026058,3.400000,2.000000,0.000000,0.000000,0.005357
0.020000,3.433887,25.026266,3.440000,2.000000,0.000000,0.000000,0.005062
0.020000,3.473886,25.026463,3.480000,2.000000,0.000000,0.000000,0.004759
0.020000,3.513886,25.026647,3.520000,2.000000,0.000000,0.000000,0.004448
0.020000,3.553886,25.026818,3.560000,2.000000,0.000000,0.000000,0.004129
0.020000,3.593885,25.026977,3.600000,2.000000,0.000000,0.000000,0.003801
0.020000,3.633885,25.027122,3.640000,2.000000,0.000000,0.000000,0.003465
0.020000,3.673885,25.027254,3.680000,2.000000,0.000000,0.000000,0.003120
0.020000,3.713885,25.027372,3.720000,2.000000,0.000000,0.000000,0.002767
0.020000,3.753885,25.027475,3.760000,2.000000,0.000000,0.000000,0.002406
0.020000,3.793884,25.027564,3.800000,2.000000,0.000000,0.000000,0.002036
0.020000,3.833884,25.027638,3.840000,2.000000,0.000000,0.000000,0.001659
0.020000,3.873884,25.027697,3.880000,2.000000,0.000000,0.000000,0.001272
0.020000,3.913884,25.027740,3.920000,2.000000,0.000000,0.000000,0.000878
0.020000,3.953884,25.027767,3.960000,2.000000,0.000000,0.000000,0.000475
0.020000,3.993884,25.027778,4.000000,2.000000,0.000000,0.000000,0.000064
0.020000,4.033884,25.027772,4.040000,2.000000,0.000000,0.000000,6.282829
0.020000,4.073884,25.027749,4.080000,2.000000,0.000000,0.000000,6.282401
0.020000,4.113884,25.027709,4.120000,2.000000,0.000000,0.000000,6.281965
0.020000,4.153884,25.027651,4.160000,2.000000,0.000000,0.000000,6.281521
0.020000,4.193884,25.027576,4.200000,2.000000,0.000000,0.000000,6.281068
0.020000,4.233884,25.027482,4.240000,2.000000,0.000000,0.000000,6.280607
0.020000,4.273884,25.027369,4.280000,2.000000,0.000000,0.000000,6.280137
0.020000,4.313884,25.027238,4.320000,2.000000,0.000000,0.000000,6.279659
0.020000,4.353883,25.027087,4.360000,2.000000,0.000000,0.000000,6.279173
0.020000,4.393883,25.026917,4.400000,2.000000,0.000000,0.000000,6.278678
0.020000,4.433883,25.026726,4.440000,2.000000,0.000000,0.000000,6.278175
0.020000,4.473882,25.026516,4.480000,2.000000,0.000000,0.000000,6.277664
0.020000,4.513881,25.026285,4.520000,2.000000,0.000000,0.000000,6.277145
0.020000,4.553881,25.026032,4.560000,2.000000,0.000000,0.000000,6.276617
0.020000,4.593880,25.025759,4.600000,2.000000,0.000000,0.000000,6.276081
0.020000,4.633878,25.025464,4.640000,2.000000,0.000000,0.000000,6.275536
0.020000,4.673877,25.025147,4.680000,2.000000,0.000000,0.000000,6.274983
0.020000,4.713876,25.024808,4.720000,2.000000,0.000000,0.000000,6.274422
0.020000,4.753874,25.024446,4.760000,2.000000,0.000000,0.000000,6.273853
0.020000,4.793872,25.024061,4.800000,2.000000,0.000000,0.000000,6.273275
0.020000,4.833870,25.023653,4.840000,2.000000,0.000000,0.000000,6.272689
0.020000,4.873868,25.023221,4.880000,2.000000,0.000000,0.000000,6.272094
0.020000,4.913865,25.022766,4.920000,2.000000,0.000000,0.000000,6.271492
0.020000,4.953862,25.022286,4.960000,2.000000,0.000000,0.000000,6.270880
0.020000,4.993859,25.021781,5.000000,2.000000,0.000000,0.000000,6.270261
0.020000,5.033856,25.021252,5.040000,2.000000,0.000000,0.000000,6.269633
