dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000049,24.125000,0.000588,0.058824,2.941176,147.058824,6.283129
0.020000,-0.000033,24.125000,0.000604,0.000806,-2.900874,-292.102524,6.283147
0.020000,-0.000006,24.125000,0.000631,0.001342,0.026789,146.383174,6.283178
0.020000,0.003443,24.125000,0.004080,0.172463,8.556083,426.464674,0.000036
0.020000,0.008785,24.125000,0.009423,0.267111,4.732388,-191.184749,0.000090
0.020000,0.015314,24.125001,0.015952,0.326461,2.967469,-88.245938,0.000157
0.020000,0.023030,24.125003,0.023668,0.385805,2.967209,-0.013009,0.000236
0.020000,0.031933,24.125005,0.032571,0.445143,2.966901,-0.015377,0.000327
0.020000,0.042023,24.125009,0.042660,0.504474,2.966547,-0.017738,0.000429
0.020000,0.053299,24.125015,0.053936,0.563797,2.966145,-0.020111,0.000543
0.020000,0.065761,24.125022,0.066398,0.623111,2.965695,-0.022468,0.000668
0.020000,0.079409,24.125032,0.080047,0.682415,2.965198,-0.024840,0.000804
0.020000,0.094243,24.125045,0.094881,0.741708,2.964654,-0.027207,0.000950
0.020000,0.110263,24.125062,0.110901,0.800989,2.964063,-0.029562,0.001107
0.020000,0.127468,24.125082,0.128106,0.860257,2.963424,-0.031938,0.001275
0.020000,0.145858,24.125107,0.146496,0.919512,2.962738,-0.034307,0.001452
0.020000,0.165433,24.125137,0.166071,0.978752,2.962005,-0.036667,0.001638
0.020000,0.186193,24.125173,0.186831,1.037977,2.961224,-0.039023,0.001834
0.020000,0.208137,24.125216,0.208774,1.097185,2.960396,-0.041409,0.002039
0.020000,0.231264,24.125266,0.231902,1.156375,2.959521,-0.043755,0.002252
0.020000,0.255575,24.125323,0.256213,1.215547,2.958598,-0.046140,0.002472
0.020000,0.281069,24.125389,0.281707,1.274700,2.957628,-0.048497,0.002701
0.020000,0.307745,24.125464,0.308383,1.333832,2.956611,-0.050849,0.002936
0.020000,0.335604,24.125549,0.336242,1.392943,2.955546,-0.053255,0.003178
0.020000,0.364645,24.125645,0.365283,1.452031,2.954435,-0.055568,0.003427
0.020000,0.394866,24.125753,0.395505,1.511097,2.953275,-0.057974,0.003680
0.020000,0.426269,24.125872,0.426908,1.570138,2.952069,-0.060326,0.003939
0.020000,0.458852,24.126005,0.459491,1.629155,2.950815,-0.062673,0.004202
0.020000,0.492614,24.126151,0.493254,1.688145,2.949514,-0.065089,0.004469
0.020000,0.527556,24.126312,0.528196,1.747108,2.948166,-0.067385,0.004739
0.020000,0.563676,24.126488,0.564317,1.806044,2.946770,-0.069805,0.005011
0.020000,0.600975,24.126680,0.601616,1.864950,2.945327,-0.072152,0.005286
0.020000,0.639451,24.126889,0.640092,1.923827,2.943837,-0.074495,0.005562
0.020000,0.679104,24.127115,0.679746,1.982673,2.942299,-0.076897,0.005838
0.020000,0.719341,24.127356,0.719984,2.011903,1.461510,-74.039430,0.006110
0.020000,0.759571,24.127607,0.760214,2.011538,-0.018231,-73.987089,0.006374
0.020000,0.799794,24.127868,0.800438,2.011174,-0.018230,0.000071,0.006629
0.020000,0.840009,24.128140,0.840654,2.010809,-0.018230,0.000010,0.006876
0.020000,0.880217,24.128421,0.880863,2.010445,-0.018231,-0.000052,0.007115
0.020000,0.920417,24.128712,0.921065,2.010080,-0.018229,0.000073,0.007345
0.020000,0.960611,24.129011,0.961259,2.009715,-0.018229,0.000011,0.007567
0.020000,1.000796,24.129320,1.001446,2.009351,-0.018230,-0.000050,0.007781
0.020000,1.040975,24.129637,1.041626,2.008986,-0.018229,0.000074,0.007986
0.020000,1.081146,24.129961,1.081798,2.008622,-0.018229,0.000011,0.008183
0.020000,1.121310,24.130294,1.121963,2.008257,-0.018229,-0.000047,0.008372
0.020000,1.161466,24.130634,1.162121,2.007893,-0.018228,0.000071,0.008553
0.020000,1.201615,24.130981,1.202272,2.007528,-0.018228,0.000010,0.008725
0.020000,1.241757,24.131334,1.242415,2.007163,-0.018229,-0.000042,0.008888
0.020000,1.281891,24.131694,1.282551,2.006799,-0.018227,0.000066,0.009044
0.020000,1.322018,24.132060,1.322680,2.006434,-0.018227,0.000009,0.009191
0.020000,1.362138,24.132432,1.362801,2.006070,-0.018228,-0.000037,0.009330
0.020000,1.402250,24.132808,1.402915,2.005705,-0.018227,0.000060,0.009460
0.020000,1.442355,24.133190,1.443022,2.005341,-0.018227,0.000007,0.009582
0.020000,1.482453,24.133577,1.483121,2.004976,-0.018227,-0.000031,0.009696
0.020000,1.522543,24.133968,1.523214,2.004612,-0.018226,0.000051,0.009801
0.020000,1.562626,24.134363,1.563299,2.004247,-0.018226,0.000006,0.009898
0.020000,1.602702,24.134761,1.603376,2.003883,-0.018227,-0.000025,0.009987
0.020000,1.642770,24.135163,1.643447,2.003518,-0.018226,0.000042,0.010067
0.020000,1.682831,24.135568,1.683510,2.003154,-0.018226,0.000004,0.010139
0.020000,1.722885,24.135975,1.723565,2.002789,-0.018226,-0.000018,0.010203
0.020000,1.762932,24.136385,1.763614,2.002424,-0.018225,0.000031,0.010259
0.020000,1.802971,24.136797,1.803655,2.002060,-0.018225,0.000001,0.010306
0.020000,1.843002,24.137210,1.843689,2.001695,-0.018226,-0.000011,0.010344
0.020000,1.883027,24.137625,1.883716,2.001331,-0.018225,0.000020,0.010375
0.020000,1.923044,24.138040,1.923735,2.000966,-0.018225,-0.000001,0.010397
0.020000,1.963054,24.138457,1.963747,2.000602,-0.018225,-0.000004,0.010411
0.020000,2.003056,24.138873,2.003752,2.000237,-0.018225,0.000008,0.010416
0.020000,2.043052,24.139290,2.043749,1.999873,-0.018225,-0.000003,0.010413
0.020000,2.083040,24.139706,2.083739,1.999508,-0.018225,0.000002,0.010402
0.020000,2.123020,24.140122,2.123722,1.999144,-0.018225,-0.000004,0.010382
0.020000,2.162994,24.140536,2.163698,1.998779,-0.018225,-0.000005,0.010355
0.020000,2.202960,24.140949,2.203666,1.998415,-0.018225,0.000009,0.010318
0.020000,2.242919,24.141361,2.243627,1.998050,-0.018225,-0.000016,0.010274
0.020000,2.282871,24.141770,2.283581,1.997686,-0.018226,-0.000007,0.010221
0.020000,2.322815,24.142177,2.323527,1.997321,-0.018225,0.000016,0.010160
0.020000,2.362752,24.142582,2.363466,1.996957,-0.018226,-0.000027,0.010090
0.020000,2.402682,24.142983,2.403398,1.996592,-0.018226,-0.000008,0.010012
0.020000,2.442604,24.143381,2.443323,1.996228,-0.018226,0.000022,0.009926
0.020000,2.482520,24.143775,2.483240,1.995863,-0.018226,-0.000037,0.009831
0.020000,2.522428,24.144166,2.523150,1.995499,-0.018227,-0.000009,0.009729
0.020000,2.562329,24.144552,2.563053,1.995134,-0.018226,0.000027,0.009617
0.020000,2.602222,24.144933,2.602948,1.994770,-0.018227,-0.000047,0.009498
0.020000,2.642109,24.145309,2.642836,1.994405,-0.018227,-0.000010,0.009370
0.020000,2.681988,24.145680,2.682717,1.994041,-0.018226,0.000032,0.009234
0.020000,2.721859,24.146046,2.722591,1.993676,-0.018228,-0.000055,0.009089
0.020000,2.761724,24.146405,2.762457,1.993312,-0.018228,-0.000011,0.008936
0.020000,2.801581,24.146758,2.802316,1.992947,-0.018227,0.000036,0.008775
0.020000,2.841432,24.147104,2.842167,1.992582,-0.018228,-0.000062,0.008606
0.020000,2.881275,24.147444,2.882012,1.992218,-0.018229,-0.000011,0.008428
0.020000,2.921110,24.147776,2.921849,1.991853,-0.018228,0.000040,0.008241
0.020000,2.960939,24.148100,2.961679,1.991489,-0.018229,-0.000067,0.008047
0.020000,3.000760,24.148417,3.001501,1.991124,-0.018229,-0.000010,0.007844
0.020000,3.040574,24.148725,3.041316,1.990760,-0.018228,0.000042,0.007633
0.020000,3.080381,24.149024,3.081124,1.990395,-0.018230,-0.000069,0.007413
0.020000,3.120180,24.149315,3.120925,1.990030,-0.018230,-0.000009,0.007185
0.020000,3.159973,24.149596,3.160718,1.989666,-0.018229,0.000044,0.006949
0.020000,3.199758,24.149868,3.200504,1.989301,-0.018230,-0.000070,0.006705
0.020000,3.239535,24.150129,3.240283,1.988937,-0.018231,-0.000007,0.006452
0.020000,3.279306,24.150381,3.280054,1.988572,-0.018230,0.000045,0.006191
0.020000,3.319070,24.150622,3.319819,1.988207,-0.018231,-0.000068,0.005921
0.020000,3.358826,24.150852,3.359575,1.987843,-0.018231,-0.000004,0.005643
0.020000,3.398575,24.151070,3.399325,1.987478,-0.018230,0.000045,0.005357
0.020000,3.438316,24.151277,3.439067,1.987114,-0.018232,-0.000063,0.005062
0.020000,3.478051,24.151472,3.478802,1.986749,-0.018232,-0.000001,0.004759
0.020000,3.517778,24.151655,3.518530,1.986384,-0.018231,0.000044,0.004448
0.020000,3.557498,24.151826,3.558250,1.986020,-0.018232,-0.000054,0.004129
0.020000,3.597211,24.151983,3.597963,1.985655,-0.018232,0.000003,0.003801
0.020000,3.636917,24.152128,3.637669,1.985290,-0.018231,0.000041,0.003465
0.020000,3.676615,24.152258,3.677368,1.984926,-0.018232,-0.000043,0.003120
0.020000,3.716306,24.152375,3.717059,1.984561,-0.018232,0.000009,0.002767
0.020000,3.755990,24.152478,3.756743,1.984197,-0.018231,0.000037,0.002406
0.020000,3.795666,24.152566,3.796419,1.983832,-0.018231,-0.000028,0.002036
0.020000,3.835336,24.152639,3.836089,1.983467,-0.018231,0.000015,0.001659
0.020000,3.874998,24.152697,3.875751,1.983103,-0.018230,0.000032,0.001272
