dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000037,25.771774,0.000651,0.065120,3.256024,162.801219,6.283143
0.020000,0.001221,25.771774,0.001835,0.059201,-0.295972,-177.599832,0.000040
0.020000,0.006288,25.771775,0.006902,0.253324,9.706130,500.105120,0.000203
0.020000,0.013890,25.771777,0.014504,0.380091,6.338347,-168.389161,0.000446
0.020000,0.024029,25.771783,0.024643,0.506984,6.344654,0.315354,0.000766
0.020000,0.036710,25.771795,0.037324,0.634045,6.353064,0.420485,0.001158
0.020000,0.051937,25.771817,0.052550,0.761316,6.363576,0.525616,0.001618
0.020000,0.069713,25.771850,0.070327,0.888840,6.376191,0.630762,0.002140
0.020000,0.090046,25.771899,0.090660,1.016658,6.390909,0.735899,0.002718
0.020000,0.112943,25.771969,0.113557,1.144813,6.407730,0.841045,0.003343
0.020000,0.138409,25.772063,0.139024,1.273346,6.426654,0.946172,0.004008
0.020000,0.166455,25.772185,0.167070,1.402300,6.447679,1.051292,0.004701
0.020000,0.197089,25.772340,0.197704,1.531716,6.470808,1.156408,0.005414
0.020000,0.230321,25.772532,0.230937,1.661637,6.496037,1.261459,0.006134
0.020000,0.266162,25.772765,0.266779,1.792104,6.523367,1.366527,0.006849
0.020000,0.304625,25.773042,0.305242,1.923160,6.552798,1.471525,0.007545
0.020000,0.345720,25.773366,0.346339,2.054846,6.584329,1.576537,0.008208
0.020000,0.389463,25.773739,0.390083,2.187206,6.617958,1.681490,0.008822
0.020000,0.435866,25.774161,0.436489,2.320279,6.653688,1.786460,0.009372
0.020000,0.484946,25.774633,0.485571,2.454110,6.691516,1.891411,0.009840
0.020000,0.536719,25.775153,0.537345,2.588739,6.731445,1.996436,0.010208
0.020000,0.591200,25.775716,0.591830,2.724208,6.773474,2.101474,0.010456
0.020000,0.648408,25.776318,0.649041,2.860560,6.817606,2.206616,0.010564
0.020000,0.708361,25.776951,0.708998,2.997837,6.863844,2.311860,0.010512
0.020000,0.771079,25.777604,0.771719,3.136081,6.912188,2.417227,0.010276
0.020000,0.836583,25.778263,0.837226,3.275334,6.962643,2.522736,0.009835
0.020000,0.904893,25.778914,0.905539,3.415638,7.015209,2.628333,0.009164
0.020000,0.975371,25.779528,0.976020,3.524053,5.420771,-79.721927,0.008247
0.020000,1.046360,25.780074,1.047011,3.549549,1.274770,-207.300063,0.007095
0.020000,1.116182,25.780524,1.116834,3.491179,-2.918495,-209.663249,0.005741
0.020000,1.183850,25.780862,1.184503,3.383427,-5.387586,-123.454540,0.004221
0.020000,1.249032,25.781084,1.249686,3.259138,-6.214459,-41.343668,0.002565
0.020000,1.311708,25.781190,1.312362,3.133820,-6.265911,-2.572554,0.000797
0.020000,1.371859,25.781183,1.372512,3.007514,-6.315275,-2.468237,6.282123
0.020000,1.429464,25.781067,1.430118,2.880263,-6.362551,-2.363795,6.280197
0.020000,1.484505,25.780849,1.485160,2.752108,-6.407734,-2.259145,6.278222
0.020000,1.536966,25.780537,1.537622,2.623092,-6.450820,-2.154309,6.276219
0.020000,1.586830,25.780140,1.587487,2.493256,-6.491803,-2.049141,6.274208
0.020000,1.634080,25.779668,1.634739,2.362642,-6.530679,-1.943805,6.272204
0.020000,1.678703,25.779135,1.679365,2.231294,-6.567444,-1.838245,6.270226
0.020000,1.720684,25.778550,1.721350,2.099252,-6.602093,-1.732420,6.268290
0.020000,1.760010,25.777927,1.760682,1.966559,-6.634624,-1.626585,6.266409
0.020000,1.796670,25.777279,1.797347,1.833259,-6.665034,-1.520471,6.264598
0.020000,1.830651,25.776618,1.831335,1.699392,-6.693325,-1.414556,6.262870
0.020000,1.861944,25.775957,1.862635,1.565002,-6.719493,-1.308401,6.261237
0.020000,1.890539,25.775308,1.891237,1.430131,-6.743542,-1.202461,6.259710
0.020000,1.916428,25.774682,1.917134,1.294822,-6.765480,-1.096919,6.258298
0.020000,1.939603,25.774090,1.940316,1.159116,-6.785296,-0.990778,6.257012
0.020000,1.960057,25.773543,1.960777,1.023056,-6.803007,-0.885531,6.255858
0.020000,1.977784,25.773049,1.978511,0.886683,-6.818616,-0.780476,6.254845
0.020000,1.992778,25.772618,1.993512,0.750041,-6.832116,-0.674972,6.253978
0.020000,2.005036,25.772255,2.005775,0.613171,-6.843525,-0.570461,6.253262
0.020000,2.014554,25.771967,2.015297,0.476114,-6.852837,-0.465626,6.252703
0.020000,2.021329,25.771760,2.022076,0.338912,-6.860068,-0.361519,6.252302
0.020000,2.025360,25.771635,2.026108,0.201608,-6.865203,-0.256776,6.252063
0.020000,2.027009,25.771583,2.027758,0.082529,-5.953962,45.562048,6.251965
0.020000,2.027330,25.771573,2.028080,0.016062,-3.323382,131.529028,6.251945
0.020000,2.027330,25.771573,2.028080,0.000000,-0.803075,126.015317,6.251945
