dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,24.896774,0.000651,0.065120,3.256024,162.801219,6.283143
0.020000,0.001256,24.896774,0.003256,0.195361,6.512049,162.801219,0.000040
0.020000,0.006466,24.896775,0.008466,0.325602,6.512049,0.000000,0.000203
0.020000,0.014280,24.896777,0.016280,0.455843,6.512049,0.000000,0.000446
0.020000,0.024699,24.896783,0.026699,0.586084,6.512049,-0.000000,0.000766
0.020000,0.037723,24.896796,0.039723,0.716325,6.512049,0.000000,0.001158
0.020000,0.053352,24.896818,0.055352,0.846566,6.512049,-0.000000,0.001618
0.020000,0.071586,24.896852,0.073586,0.976807,6.512049,0.000000,0.002140
0.020000,0.092425,24.896903,0.094425,1.107048,6.512049,-0.000000,0.002718
0.020000,0.115868,24.896974,0.117868,1.237289,6.512049,0.000000,0.003343
0.020000,0.141916,24.897070,0.143916,1.367530,6.512049,0.000000,0.004008
0.020000,0.170569,24.897194,0.172569,1.497771,6.512049,0.000000,0.004701
0.020000,0.201826,24.897353,0.203827,1.628012,6.512049,-0.000000,0.005414
0.020000,0.235688,24.897548,0.237690,1.758253,6.512049,0.000000,0.006134
0.020000,0.272155,24.897785,0.274157,1.888494,6.512049,0.000000,0.006849
0.020000,0.311226,24.898067,0.313230,2.018735,6.512049,-0.000000,0.007545
0.020000,0.352902,24.898395,0.354907,2.148976,6.512049,0.000000,0.008208
0.020000,0.397182,24.898773,0.399189,2.279217,6.512049,-0.000000,0.008822
0.020000,0.444067,24.899200,0.446075,2.409458,6.512049,0.000000,0.009372
0.020000,0.493556,24.899675,0.495567,2.539699,6.512049,-0.000000,0.009840
0.020000,0.545650,24.900198,0.547663,2.669940,6.512049,0.000000,0.010208
0.020000,0.600348,24.900764,0.602365,2.800181,6.512049,0.000000,0.010456
0.020000,0.657651,24.901367,0.659671,2.930422,6.512049,0.000000,0.010564
0.020000,0.717559,24.901999,0.719581,3.060663,6.512049,-0.000000,0.010512
0.020000,0.780071,24.902650,0.782097,3.190904,6.512049,0.000000,0.010276
0.020000,0.845188,24.903306,0.847218,3.321145,6.512049,-0.000000,0.009835
0.020000,0.912910,24.903950,0.914943,3.451386,6.512049,0.000000,0.009164
0.020000,0.982587,24.904558,0.984622,3.516506,3.256024,-162.801219,0.008247
0.020000,1.052568,24.905096,1.054605,3.481837,-1.733461,-249.474257,0.007095
0.020000,1.121206,24.905538,1.123244,3.382047,-4.989485,-162.801219,0.005741
0.020000,1.187543,24.905870,1.189583,3.251806,-6.512049,-76.128181,0.004221
0.020000,1.251277,24.906087,1.253316,3.121565,-6.512049,-0.000000,0.002565
0.020000,1.312405,24.906191,1.314445,2.991324,-6.512049,0.000000,0.000797
0.020000,1.370929,24.906184,1.372969,2.861084,-6.512049,-0.000000,6.282123
0.020000,1.426849,24.906071,1.428889,2.730843,-6.512049,0.000000,6.280197
0.020000,1.480163,24.905860,1.482203,2.600602,-6.512049,-0.000000,6.278222
0.020000,1.530871,24.905558,1.532913,2.470361,-6.512049,0.000000,6.276219
0.020000,1.578975,24.905175,1.581017,2.340120,-6.512049,0.000000,6.274208
0.020000,1.624472,24.904721,1.626517,2.209879,-6.512049,0.000000,6.272204
0.020000,1.667364,24.904208,1.669413,2.079638,-6.512049,-0.000000,6.270226
0.020000,1.707651,24.903647,1.709703,1.949397,-6.512049,0.000000,6.268290
0.020000,1.745332,24.903051,1.747388,1.819156,-6.512049,-0.000000,6.266409
0.020000,1.780407,24.902431,1.782469,1.688915,-6.512049,0.000000,6.264598
0.020000,1.812877,24.901799,1.814945,1.558674,-6.512049,0.000000,6.262870
0.020000,1.842741,24.901168,1.844816,1.428433,-6.512049,0.000000,6.261237
0.020000,1.870000,24.900549,1.872082,1.298192,-6.512049,0.000000,6.259710
0.020000,1.894654,24.899953,1.896744,1.167951,-6.512049,-0.000000,6.258298
0.020000,1.916704,24.899390,1.918800,1.037710,-6.512049,0.000000,6.257012
0.020000,1.936149,24.898869,1.938252,0.907469,-6.512049,0.000000,6.255858
0.020000,1.952989,24.898400,1.955099,0.777228,-6.512049,0.000000,6.254845
0.020000,1.967225,24.897991,1.969341,0.646987,-6.512049,-0.000000,6.253978
0.020000,1.978858,24.897647,1.980979,0.516746,-6.512049,0.000000,6.253262
0.020000,1.987886,24.897374,1.990011,0.386505,-6.512049,-0.000000,6.252703
0.020000,1.994311,24.897177,1.996439,0.256264,-6.512049,0.000000,6.252302
0.020000,1.998132,24.897058,2.000262,0.126023,-6.512049,0.000000,6.252063
0.020000,1.999696,24.897010,2.001826,0.030451,-4.778588,86.673038,6.251965
0.020000,2.000000,24.897000,2.002131,0.000000,-1.522564,162.801219,6.251945
0.020000,2.000000,24.897000,2.002131,0.000000,0.000000,76.128181,6.251945
