dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000037,24.021774,0.000651,0.065120,3.256024,162.801219,6.283143
0.020000,0.001291,24.021774,0.001979,0.066401,0.064045,-159.598955,0.000040
0.020000,0.006644,24.021775,0.007332,0.267640,10.061943,499.894890,0.000203
0.020000,0.014671,24.021777,0.015359,0.401355,6.685751,-168.809627,0.000446
0.020000,0.025369,24.021784,0.026058,0.534944,6.679443,-0.315358,0.000766
0.020000,0.038737,24.021797,0.039425,0.668365,6.671034,-0.420485,0.001158
0.020000,0.054768,24.021819,0.055457,0.801575,6.660521,-0.525625,0.001618
0.020000,0.073459,24.021854,0.074147,0.934533,6.647906,-0.630759,0.002140
0.020000,0.094803,24.021906,0.095491,1.067197,6.633188,-0.735907,0.002718
0.020000,0.118793,24.021979,0.119482,1.199524,6.616367,-0.841041,0.003343
0.020000,0.145422,24.022077,0.146111,1.331473,6.597443,-0.946180,0.004008
0.020000,0.174682,24.022204,0.175371,1.463002,6.576417,-1.051299,0.004701
0.020000,0.206563,24.022365,0.207253,1.594067,6.553290,-1.156381,0.005414
0.020000,0.241055,24.022565,0.241745,1.724629,6.528060,-1.261480,0.006134
0.020000,0.278147,24.022806,0.278838,1.854643,6.500730,-1.366503,0.006849
0.020000,0.317828,24.023092,0.318520,1.984069,6.471299,-1.471538,0.007545
0.020000,0.360084,24.023425,0.360777,2.112865,6.439769,-1.576503,0.008208
0.020000,0.404902,24.023807,0.405597,2.240987,6.406140,-1.681489,0.008822
0.020000,0.452268,24.024238,0.452965,2.368396,6.370411,-1.786441,0.009372
0.020000,0.502166,24.024718,0.502865,2.495047,6.332582,-1.891430,0.009840
0.020000,0.554582,24.025244,0.555284,2.620900,6.292654,-1.996406,0.010208
0.020000,0.609497,24.025812,0.610202,2.745913,6.250624,-2.101484,0.010456
0.020000,0.666895,24.026416,0.667603,2.870043,6.206492,-2.206625,0.010564
0.020000,0.726756,24.027047,0.727468,2.993248,6.160254,-2.311882,0.010512
0.020000,0.789063,24.027696,0.789777,3.115486,6.111909,-2.417271,0.010276
0.020000,0.853794,24.028348,0.854512,3.236715,6.061453,-2.522784,0.009835
0.020000,0.920928,24.028987,0.921649,3.356893,6.008884,-2.628438,0.009164
0.020000,0.989803,24.029588,0.990526,3.443839,4.347296,-83.079396,0.008247
0.020000,1.058776,24.030118,1.059502,3.448794,0.247787,-204.975474,0.007095
0.020000,1.126229,24.030553,1.126956,3.372705,-3.804457,-202.612215,0.005741
0.020000,1.191237,24.030878,1.191965,3.250426,-6.113954,-115.474810,0.004221
0.020000,1.253521,24.031090,1.254249,3.114233,-6.809642,-34.784440,0.002565
0.020000,1.313102,24.031191,1.313831,2.979069,-6.758190,2.572598,0.000797
0.020000,1.370000,24.031184,1.370729,2.844893,-6.708825,2.468299,6.282123
0.020000,1.424233,24.031075,1.424962,2.711662,-6.661548,2.363850,6.280197
0.020000,1.475820,24.030871,1.476549,2.579335,-6.616363,2.259217,6.278222
0.020000,1.524776,24.030579,1.525506,2.447869,-6.573277,2.154309,6.276219
0.020000,1.571119,24.030210,1.571850,2.317223,-6.532292,2.049234,6.274208
0.020000,1.614864,24.029774,1.615598,2.187355,-6.493415,1.943843,6.272204
0.020000,1.656026,24.029282,1.656762,2.058222,-6.456651,1.838231,6.270226
0.020000,1.694618,24.028744,1.695358,1.929782,-6.422001,1.732501,6.268290
0.020000,1.730653,24.028174,1.731397,1.801993,-6.389471,1.626505,6.266409
0.020000,1.764144,24.027582,1.764894,1.674811,-6.359059,1.520590,6.264598
0.020000,1.795102,24.026980,1.795858,1.548196,-6.330770,1.414424,6.262870
0.020000,1.823538,24.026379,1.824300,1.422104,-6.304600,1.308514,6.261237
0.020000,1.849461,24.025790,1.850230,1.296493,-6.280549,1.202548,6.259710
0.020000,1.872880,24.025224,1.873656,1.171321,-6.258620,1.096452,6.258298
0.020000,1.893805,24.024689,1.894587,1.046545,-6.238796,0.991202,6.257012
0.020000,1.912240,24.024196,1.913029,0.922123,-6.221086,0.885506,6.255858
0.020000,1.928194,24.023752,1.928990,0.798013,-6.205485,0.780038,6.254845
0.020000,1.941672,24.023364,1.942473,0.674174,-6.191977,0.675392,6.253978
0.020000,1.952679,24.023038,1.953484,0.550562,-6.180572,0.570264,6.253262
0.020000,1.961218,24.022780,1.962027,0.427137,-6.171256,0.465817,6.252703
0.020000,1.967292,24.022594,1.968104,0.303857,-6.164035,0.361061,6.252302
0.020000,1.970904,24.022482,1.971718,0.180679,-6.158891,0.257162,6.252063
0.020000,1.972382,24.022436,1.973197,0.073945,-5.336677,41.110707,6.251965
0.020000,1.972670,24.022427,1.973484,0.014390,-2.977766,117.945553,6.251945
0.020000,1.972670,24.022427,1.973484,0.000000,-0.719491,112.913762,6.251945
