dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.548267,26.016661,0.000610,0.060976,3.048780,152.439024,0.000842
0.020000,0.548476,26.016661,0.000818,0.010417,-2.527945,-278.836273,0.000604
0.020000,0.548892,26.016661,0.001235,0.020832,0.520740,152.434227,0.000128
0.020000,0.555526,26.016659,0.007869,0.331707,15.543777,751.151882,6.282599
0.020000,0.566116,26.016648,0.018458,0.529466,9.887970,-282.790349,6.281646
0.020000,0.579352,26.016620,0.031695,0.661826,6.617972,-163.499922,6.280456
0.020000,0.595237,26.016565,0.047579,0.794232,6.620310,0.116931,6.279027
0.020000,0.613768,26.016473,0.066111,0.926595,6.618123,-0.109370,6.277360
0.020000,0.634947,26.016329,0.087291,1.058974,6.618988,0.043274,6.275455
0.020000,0.658773,26.016119,0.111118,1.191342,6.618383,-0.030264,6.273311
0.020000,0.685247,26.015826,0.137593,1.323761,6.620929,0.127294,6.270928
0.020000,0.714367,26.015431,0.166715,1.456132,6.618573,-0.117823,6.268307
0.020000,0.746133,26.014913,0.198486,1.588513,6.619052,0.023957,6.265448
0.020000,0.780545,26.014249,0.232904,1.720896,6.619172,0.005989,6.262350
0.020000,0.817601,26.013415,0.269969,1.853273,6.618826,-0.017295,6.259014
0.020000,0.857300,26.012384,0.309682,1.985648,6.618755,-0.003524,6.255439
0.020000,0.899642,26.011129,0.352042,2.118010,6.618109,-0.032325,6.251627
0.020000,0.944623,26.009617,0.397049,2.250352,6.617063,-0.052280,6.247577
0.020000,0.992243,26.007819,0.444703,2.382671,6.615989,-0.053724,6.243290
0.020000,1.042497,26.005699,0.495002,2.514961,6.614480,-0.075441,6.238767
0.020000,1.095384,26.003222,0.547946,2.647208,6.612333,-0.107362,6.234008
0.020000,1.150899,26.000351,0.603535,2.779457,6.612476,0.007194,6.229014
0.020000,1.209037,25.997046,0.661767,2.911615,6.607871,-0.230264,6.223787
0.020000,1.269794,25.993266,0.722642,3.043723,6.605446,-0.121256,6.218328
0.020000,1.333164,25.988969,0.786157,3.175772,6.602433,-0.150636,6.212637
0.020000,1.399140,25.984111,0.852312,3.307731,6.597939,-0.224713,6.206718
0.020000,1.467715,25.978645,0.921104,3.439618,6.594347,-0.179584,6.200572
0.020000,1.538880,25.972524,0.992532,3.571402,6.589208,-0.256965,6.194202
0.020000,1.612626,25.965699,1.066593,3.703037,6.581739,-0.373447,6.187609
0.020000,1.688942,25.958120,1.143285,3.834576,6.576959,-0.239022,6.180798
0.020000,1.767816,25.949736,1.222604,3.965943,6.568355,-0.430170,6.173771
0.020000,1.849237,25.940493,1.304547,4.097170,6.561370,-0.349241,6.166533
0.020000,1.933189,25.930338,1.389111,4.228186,6.550784,-0.529344,6.159087
0.020000,2.019656,25.919216,1.476291,4.359018,6.541606,-0.458892,6.151438
0.020000,2.108624,25.907071,1.566084,4.489626,6.530387,-0.560922,6.143591
0.020000,2.200072,25.893846,1.658483,4.619990,6.518184,-0.610165,6.135552
0.020000,2.293983,25.879485,1.753485,4.750094,6.505216,-0.648417,6.127326
0.020000,2.390333,25.863930,1.851084,4.879920,6.491284,-0.696573,6.118921
0.020000,2.489102,25.847122,1.951272,5.009426,6.475314,-0.798485,6.110343
0.020000,2.590265,25.829004,2.054045,5.138619,6.459647,-0.783393,6.101599
0.020000,2.693796,25.809517,2.159393,5.267447,6.441397,-0.912498,6.092698
0.020000,2.799023,25.788735,2.266654,5.363010,4.778161,-83.161772,6.083703
0.020000,2.904638,25.766889,2.374504,5.392511,1.475051,-165.155533,6.074731
0.020000,3.009983,25.744115,2.482283,5.388934,-0.178837,-82.694366,6.065841
0.020000,3.115050,25.720426,2.589987,5.385227,-0.185358,-0.326062,6.057035
0.020000,3.219831,25.695836,2.697615,5.381376,-0.192553,-0.359740,6.048318
0.020000,3.324317,25.670356,2.805162,5.377393,-0.199160,-0.330348,6.039691
0.020000,3.428501,25.644001,2.912628,5.373289,-0.205197,-0.301835,6.031159
0.020000,3.532375,25.616785,3.020009,5.369057,-0.211617,-0.321021,6.022723
0.020000,3.635935,25.588721,3.127304,5.364721,-0.216804,-0.259364,6.014386
0.020000,3.739172,25.559823,3.234509,5.360265,-0.222760,-0.297810,6.006151
0.020000,3.842082,25.530108,3.341623,5.355719,-0.227298,-0.226885,5.998020
0.020000,3.944659,25.499588,3.448645,5.351067,-0.232605,-0.265366,5.989995
0.020000,4.046900,25.468280,3.555572,5.346334,-0.236681,-0.203755,5.982079
0.020000,4.148799,25.436197,3.662402,5.341509,-0.241219,-0.226913,5.974272
0.020000,4.250353,25.403356,3.769134,5.336612,-0.244850,-0.181570,5.966578
0.020000,4.351559,25.369772,3.875767,5.331639,-0.248681,-0.191516,5.958997
0.020000,4.452414,25.335460,3.982299,5.326602,-0.251853,-0.158603,5.951532
0.020000,4.552916,25.300435,4.088729,5.321501,-0.255021,-0.158408,5.944183
0.020000,4.653062,25.264713,4.195056,5.316346,-0.257745,-0.136220,5.936952
0.020000,4.752853,25.228310,4.301279,5.311141,-0.260286,-0.127019,5.929840
0.020000,4.852285,25.191240,4.407396,5.305889,-0.262590,-0.115214,5.922848
