dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.549004,25.141661,0.000588,0.058824,2.941176,147.058824,0.000844
0.020000,0.549004,25.141661,0.002353,0.117647,2.941176,0.000000,0.000672
0.020000,0.549004,25.141661,0.005294,0.176471,2.941176,0.000000,0.000385
0.020000,0.549181,25.141661,0.009412,0.235294,2.941176,-0.000000,6.283168
0.020000,0.554475,25.141660,0.014706,0.294118,2.941176,0.000000,6.282651
0.020000,0.560946,25.141654,0.021176,0.352941,2.941176,0.000000,6.282020
0.020000,0.568593,25.141642,0.028824,0.411765,2.941176,-0.000000,6.281273
0.020000,0.577416,25.141622,0.037647,0.470588,2.941176,0.000000,6.280412
0.020000,0.587416,25.141589,0.047647,0.529412,2.941176,0.000000,6.279436
0.020000,0.598593,25.141541,0.058824,0.588235,2.941176,0.000000,6.278344
0.020000,0.610945,25.141474,0.071176,0.647059,2.941176,0.000000,6.277138
0.020000,0.624474,25.141383,0.084706,0.705882,2.941176,0.000000,6.275817
0.020000,0.639180,25.141264,0.099412,0.764706,2.941176,-0.000000,6.274381
0.020000,0.655062,25.141112,0.115294,0.823529,2.941176,0.000000,6.272829
0.020000,0.672119,25.140921,0.132353,0.882353,2.941176,0.000000,6.271163
0.020000,0.690353,25.140686,0.150588,0.941176,2.941176,0.000000,6.269382
0.020000,0.709763,25.140399,0.170000,1.000000,2.941176,0.000000,6.267485
0.020000,0.730348,25.140055,0.190588,1.058824,2.941176,0.000000,6.265474
0.020000,0.752109,25.139647,0.212353,1.117647,2.941176,0.000000,6.263347
0.020000,0.775045,25.139166,0.235294,1.176471,2.941176,0.000000,6.261106
0.020000,0.799156,25.138605,0.259412,1.235294,2.941176,0.000000,6.258749
0.020000,0.824442,25.137956,0.284706,1.294118,2.941176,0.000000,6.256278
0.020000,0.850902,25.137209,0.311176,1.352941,2.941176,0.000000,6.253692
0.020000,0.878536,25.136357,0.338824,1.411765,2.941176,0.000000,6.250991
0.020000,0.907343,25.135389,0.367647,1.470588,2.941176,0.000000,6.248176
0.020000,0.937323,25.134295,0.397647,1.529412,2.941176,-0.000000,6.245246
0.020000,0.968475,25.133065,0.428824,1.588235,2.941176,0.000000,6.242203
0.020000,1.000799,25.131688,0.461176,1.647059,2.941176,0.000000,6.239045
0.020000,1.034293,25.130154,0.494706,1.705882,2.941176,0.000000,6.235773
0.020000,1.068957,25.128450,0.529412,1.764706,2.941176,0.000000,6.232389
0.020000,1.104790,25.126566,0.565294,1.823529,2.941176,0.000000,6.228891
0.020000,1.141790,25.124488,0.602353,1.882353,2.941176,0.000000,6.225280
0.020000,1.179957,25.122204,0.640588,1.941176,2.941176,0.000000,6.221557
0.020000,1.219290,25.119701,0.680000,2.000000,2.941176,0.000000,6.217723
0.020000,1.259199,25.117007,0.720000,2.000000,0.000000,-147.058824,6.213834
0.020000,1.299097,25.114158,0.760000,2.000000,0.000000,0.000000,6.209949
0.020000,1.338984,25.111153,0.800000,2.000000,0.000000,0.000000,6.206068
0.020000,1.378859,25.107994,0.840000,2.000000,0.000000,0.000000,6.202190
0.020000,1.418722,25.104681,0.880000,2.000000,0.000000,0.000000,6.198317
0.020000,1.458571,25.101213,0.920000,2.000000,0.000000,0.000000,6.194449
0.020000,1.498407,25.097591,0.960000,2.000000,0.000000,0.000000,6.190586
0.020000,1.538228,25.093816,1.000000,2.000000,0.000000,0.000000,6.186727
0.020000,1.578035,25.089887,1.040000,2.000000,0.000000,0.000000,6.182875
0.020000,1.617826,25.085805,1.080000,2.000000,0.000000,0.000000,6.179028
0.020000,1.657601,25.081569,1.120000,2.000000,0.000000,0.000000,6.175186
0.020000,1.697359,25.077181,1.160000,2.000000,0.000000,0.000000,6.171352
0.020000,1.737101,25.072641,1.200000,2.000000,0.000000,0.000000,6.167524
0.020000,1.776825,25.067949,1.240000,2.000000,0.000000,0.000000,6.163702
0.020000,1.816530,25.063106,1.280000,2.000000,0.000000,0.000000,6.159888
0.020000,1.856217,25.058111,1.320000,2.000000,0.000000,0.000000,6.156081
0.020000,1.895885,25.052965,1.360000,2.000000,0.000000,0.000000,6.152282
0.020000,1.935533,25.047668,1.400000,2.000000,0.000000,0.000000,6.148491
0.020000,1.975160,25.042222,1.440000,2.000000,0.000000,0.000000,6.144708
0.020000,2.014767,25.036626,1.480000,2.000000,0.000000,0.000000,6.140934
0.020000,2.054352,25.030880,1.520000,2.000000,0.000000,0.000000,6.137168
0.020000,2.093915,25.024986,1.560000,2.000000,0.000000,0.000000,6.133411
0.020000,2.133456,25.018943,1.600000,2.000000,0.000000,0.000000,6.129664
0.020000,2.172974,25.012753,1.640000,2.000000,0.000000,0.000000,6.125926
0.020000,2.212469,25.006414,1.680000,2.000000,0.000000,0.000000,6.122198
0.020000,2.251939,24.999929,1.720000,2.000000,0.000000,0.000000,6.118479
0.020000,2.291386,24.993298,1.760000,2.000000,0.000000,0.000000,6.114772
0.020000,2.330807,24.986520,1.800000,2.000000,0.000000,0.000000,6.111074
0.020000,2.370204,24.979597,1.840000,2.000000,0.000000,0.000000,6.107388
0.020000,2.409574,24.972529,1.880000,2.000000,0.000000,0.000000,6.103712
0.020000,2.448919,24.965316,1.920000,2.000000,0.000000,0.000000,6.100048
0.020000,2.488236,24.957960,1.960000,2.000000,0.000000,0.000000,6.096395
0.020000,2.527527,24.950460,2.000000,2.000000,0.000000,0.000000,6.092754
0.020000,2.566790,24.942817,2.040000,2.000000,0.000000,0.000000,6.089124
0.020000,2.606025,24.935032,2.080000,2.000000,0.000000,0.000000,6.085507
0.020000,2.645232,24.927106,2.120000,2.000000,0.000000,0.000000,6.081903
0.020000,2.684410,24.919038,2.160000,2.000000,0.000000,0.000000,6.078311
0.020000,2.723559,24.910831,2.200000,2.000000,0.000000,0.000000,6.074731
0.020000,2.762678,24.902483,2.240000,2.000000,0.000000,0.000000,6.071165
0.020000,2.801767,24.893996,2.280000,2.000000,0.000000,0.000000,6.067612
0.020000,2.840826,24.885370,2.320000,2.000000,0.000000,0.000000,6.064073
0.020000,2.879854,24.876607,2.360000,2.000000,0.000000,0.000000,6.060547
0.020000,2.918851,24.867706,2.400000,2.000000,0.000000,0.000000,6.057035
0.020000,2.957817,24.858669,2.440000,2.000000,0.000000,0.000000,6.053538
0.020000,2.996751,24.849496,2.480000,2.000000,0.000000,0.000000,6.050054
0.020000,3.035653,24.840187,2.520000,2.000000,0.000000,0.000000,6.046585
0.020000,3.074522,24.830744,2.560000,2.000000,0.000000,0.000000,6.043131
0.020000,3.113359,24.821167,2.600000,2.000000,0.000000,0.000000,6.039691
0.020000,3.152162,24.811457,2.640000,2.000000,0.000000,0.000000,6.036267
0.020000,3.190932,24.801614,2.680000,2.000000,0.000000,0.000000,6.032858
0.020000,3.229668,24.791639,2.720000,2.000000,0.000000,0.000000,6.029464
0.020000,3.268371,24.781534,2.760000,2.000000,0.000000,0.000000,6.026085
0.020000,3.307039,24.771297,2.800000,2.000000,0.000000,0.000000,6.022723
0.020000,3.345672,24.760932,2.840000,2.000000,0.000000,0.000000,6.019376
0.020000,3.384271,24.750437,2.880000,2.000000,0.000000,0.000000,6.016045
0.020000,3.422835,24.739814,2.920000,2.000000,0.000000,0.000000,6.012731
0.020000,3.461363,24.729064,2.960000,2.000000,0.000000,0.000000,6.009432
0.020000,3.499856,24.718187,3.000000,2.000000,0.000000,0.000000,6.006151
0.020000,3.538312,24.707183,3.040000,2.000000,0.000000,0.000000,6.002886
0.020000,3.576733,24.696055,3.080000,2.000000,0.000000,0.000000,5.999638
0.020000,3.615118,24.684803,3.120000,2.000000,0.000000,0.000000,5.996406
0.020000,3.653466,24.673426,3.160000,2.000000,0.000000,0.000000,5.993192
0.020000,3.691777,24.661927,3.200000,2.000000,0.000000,0.000000,5.989995
0.020000,3.730052,24.650306,3.240000,2.000000,0.000000,0.000000,5.986815
0.020000,3.768290,24.638563,3.280000,2.000000,0.000000,0.000000,5.983653
0.020000,3.806490,24.626700,3.320000,2.000000,0.000000,0.000000,5.980508
0.020000,3.844653,24.614718,3.360000,2.000000,0.000000,0.000000,5.977381
0.020000,3.882778,24.602616,3.400000,2.000000,0.000000,0.000000,5.974272
0.020000,3.920866,24.590396,3.440000,2.000000,0.000000,0.000000,5.971181
0.020000,3.958916,24.578059,3.480000,2.000000,0.000000,0.000000,5.968108
0.020000,3.996928,24.565605,3.520000,2.000000,0.000000,0.000000,5.965053
0.020000,4.034902,24.553036,3.560000,2.000000,0.000000,0.000000,5.962016
0.020000,4.072837,24.540351,3.600000,2.000000,0.000000,0.000000,5.958997
0.020000,4.110734,24.527553,3.640000,2.000000,0.000000,0.000000,5.955997
0.020000,4.148593,24.514641,3.680000,2.000000,0.000000,0.000000,5.953016
0.020000,4.186413,24.501617,3.720000,2.000000,0.000000,0.000000,5.950053
0.020000,4.224195,24.488481,3.760000,2.000000,0.000000,0.000000,5.947108
0.020000,4.261938,24.475234,3.800000,2.000000,0.000000,0.000000,5.944183
0.020000,4.299642,24.461877,3.840000,2.000000,0.000000,0.000000,5.941276
0.020000,4.337307,24.448412,3.880000,2.000000,0.000000,0.000000,5.938389
0.020000,4.374933,24.434837,3.920000,2.000000,0.000000,0.000000,5.935520
0.020000,4.412521,24.421156,3.960000,2.000000,0.000000,0.000000,5.932670
0.020000,4.450069,24.407367,4.000000,2.000000,0.000000,0.000000,5.929840
0.020000,4.487578,24.393473,4.040000,2.000000,0.000000,0.000000,5.927029
0.020000,4.525048,24.379473,4.080000,2.000000,0.000000,0.000000,5.924237
0.020000,4.562480,24.365370,4.120000,2.000000,0.000000,0.000000,5.921464
0.020000,4.599872,24.351163,4.160000,2.000000,0.000000,0.000000,5.918711
0.020000,4.637224,24.336853,4.200000,2.000000,0.000000,0.000000,5.915977
0.020000,4.674538,24.322442,4.240000,2.000000,0.000000,0.000000,5.913262
0.020000,4.711813,24.307930,4.280000,2.000000,0.000000,0.000000,5.910568
0.020000,4.749048,24.293318,4.320000,2.000000,0.000000,0.000000,5.907892
0.020000,4.786245,24.278607,4.360000,2.000000,0.000000,0.000000,5.905237
0.020000,4.823402,24.263797,4.400000,2.000000,0.000000,0.000000,5.902601
0.020000,4.860521,24.248890,4.440000,2.000000,0.000000,0.000000,5.899985
0.020000,4.897600,24.233886,4.480000,2.000000,0.000000,0.000000,5.897388
0.020000,4.934641,24.218787,4.520000,2.000000,0.000000,0.000000,5.894811
0.020000,4.971642,24.203592,4.560000,2.000000,0.000000,0.000000,5.892254
0.020000,5.008605,24.188303,4.600000,2.000000,0.000000,0.000000,5.889717
0.020000,5.045529,24.172921,4.640000,2.000000,0.000000,0.000000,5.887200
0.020000,5.082414,24.157446,4.680000,2.000000,0.000000,0.000000,5.884702
0.020000,5.119261,24.141879,4.720000,2.000000,0.000000,0.000000,5.882225
0.020000,5.156069,24.126222,4.760000,2.000000,0.000000,0.000000,5.879767
0.020000,5.192839,24.110474,4.800000,2.000000,0.000000,0.000000,5.877330
0.020000,5.229571,24.094638,4.840000,2.000000,0.000000,0.000000,5.874912
