dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.549737,24.266661,0.000650,0.064965,3.248247,162.412368,0.000838
0.020000,0.549515,24.266661,0.000872,0.011098,-2.693338,-297.079257,0.000584
0.020000,0.549071,24.266661,0.001315,0.022194,0.554801,162.406920,0.000077
0.020000,0.555412,24.266659,0.007656,0.317033,14.741951,709.357514,6.282501
0.020000,0.564919,24.266648,0.017163,0.475324,7.914551,-341.370000,6.281487
0.020000,0.576802,24.266620,0.029046,0.594164,5.941964,-98.629358,6.280218
0.020000,0.591061,24.266567,0.043305,0.712967,5.940168,-0.089789,6.278696
0.020000,0.607697,24.266477,0.059941,0.831801,5.941722,0.077700,6.276920
0.020000,0.626709,24.266339,0.078954,0.950625,5.941166,-0.027793,6.274890
0.020000,0.648097,24.266137,0.100342,1.069431,5.940326,-0.042000,6.272605
0.020000,0.671860,24.265855,0.124107,1.188246,5.940735,0.020423,6.270067
0.020000,0.697998,24.265476,0.150248,1.307052,5.940291,-0.022165,6.267274
0.020000,0.726511,24.264979,0.178766,1.425858,5.940329,0.001890,6.264228
0.020000,0.757398,24.264342,0.209659,1.544690,5.941573,0.062186,6.260927
0.020000,0.790659,24.263543,0.242929,1.663509,5.940940,-0.031634,6.257373
0.020000,0.826292,24.262555,0.278576,1.782331,5.941129,0.009431,6.253564
0.020000,0.864297,24.261351,0.316600,1.901207,5.943779,0.132527,6.249503
0.020000,0.904672,24.259904,0.357001,2.020062,5.942760,-0.050946,6.245189
0.020000,0.947417,24.258181,0.399781,2.138960,5.944883,0.106155,6.240623
0.020000,0.992528,24.256151,0.444938,2.257877,5.945886,0.050105,6.235805
0.020000,1.040007,24.253779,0.492476,2.376871,5.949682,0.189802,6.230737
0.020000,1.089848,24.251030,0.542393,2.495882,5.950563,0.044058,6.225419
0.020000,1.142052,24.247865,0.594692,2.614954,5.953590,0.151376,6.219854
0.020000,1.196614,24.244246,0.649375,2.734129,5.958747,0.257855,6.214042
0.020000,1.253533,24.240130,0.706442,2.853354,5.961254,0.125347,6.207986
0.020000,1.312804,24.235477,0.765896,2.972683,5.966439,0.259217,6.201687
0.020000,1.374425,24.230241,0.827738,3.092129,5.972305,0.293340,6.195149
0.020000,1.438390,24.224377,0.891972,3.211692,5.978177,0.293573,6.188374
0.020000,1.504697,24.217836,0.958600,3.331414,5.986088,0.395535,6.181366
0.020000,1.573339,24.210572,1.027626,3.451287,5.993619,0.376548,6.174127
0.020000,1.644312,24.202533,1.099053,3.571335,6.002429,0.440521,6.166663
0.020000,1.717610,24.193667,1.172885,3.691588,6.012667,0.511904,6.158978
0.020000,1.793225,24.183923,1.249126,3.812060,6.023592,0.546232,6.151077
0.020000,1.871153,24.173245,1.327781,3.932780,6.035976,0.619232,6.142965
0.020000,1.951385,24.161580,1.408857,4.053762,6.049086,0.655476,6.134649
0.020000,2.033913,24.148871,1.492357,4.175036,6.063737,0.732557,6.126134
