dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000848,0.875000,0.000588,0.058824,2.941176,147.058824,6.282216
0.020000,0.000771,0.875000,0.000665,0.003853,-2.748519,-284.484777,6.282304
0.020000,0.000643,0.875000,0.000794,0.006423,0.128514,143.851645,6.282451
0.020000,0.000463,0.875000,0.000974,0.008996,0.128627,0.005669,6.282656
0.020000,0.000232,0.875000,0.001205,0.011572,0.128786,0.007942,6.282921
0.020000,0.001126,0.875000,0.002099,0.044698,1.656337,76.377535,0.000059
0.020000,0.008440,0.875002,0.009413,0.365704,16.050267,719.696516,0.000442
0.020000,0.016875,0.875007,0.017849,0.421768,2.803222,-662.352272,0.000884
0.020000,0.026437,0.875018,0.027411,0.478114,2.817284,0.703139,0.001385
0.020000,0.037121,0.875036,0.038094,0.534165,2.802577,-0.735383,0.001947
0.020000,0.048931,0.875063,0.049905,0.590533,2.818401,0.791215,0.002569
0.020000,0.061863,0.875100,0.062837,0.646586,2.802623,-0.788915,0.003251
0.020000,0.075917,0.875151,0.076890,0.702698,2.805589,0.148309,0.003994
0.020000,0.091096,0.875218,0.092070,0.758988,2.814530,0.447070,0.004799
0.020000,0.107397,0.875303,0.108372,0.815065,2.803853,-0.533875,0.005665
0.020000,0.124820,0.875410,0.125794,0.871146,2.804047,0.009708,0.006594
0.020000,0.143364,0.875542,0.144339,0.927219,2.803652,-0.019747,0.007585
0.020000,0.163029,0.875701,0.164004,0.983273,2.802664,-0.049390,0.008640
0.020000,0.183814,0.875892,0.184790,1.039294,2.801080,-0.079215,0.009758
0.020000,0.205718,0.876119,0.206696,1.095272,2.798896,-0.109212,0.010941
0.020000,0.228741,0.876385,0.229720,1.151235,2.798126,-0.038464,0.012189
0.020000,0.252885,0.876695,0.253867,1.207313,2.803912,0.289259,0.013503
0.020000,0.278146,0.877054,0.279129,1.263144,2.791546,-0.618272,0.014883
0.020000,0.304521,0.877466,0.305508,1.318948,2.790187,-0.067945,0.016331
0.020000,0.332017,0.877936,0.333007,1.374952,2.800212,0.501244,0.017846
0.020000,0.360623,0.878469,0.361619,1.430583,2.781574,-0.931890,0.019431
0.020000,0.390347,0.879071,0.391349,1.486518,2.796722,0.757386,0.021085
0.020000,0.421183,0.879748,0.422193,1.542159,2.782052,-0.733513,0.022811
0.020000,0.453129,0.880505,0.454148,1.597759,2.780035,-0.100838,0.024608
0.020000,0.486190,0.881350,0.487219,1.653550,2.789549,0.475698,0.026478
0.020000,0.520359,0.882288,0.521401,1.709109,2.777905,-0.582198,0.028422
0.020000,0.555636,0.883327,0.556693,1.764625,2.775834,-0.103570,0.030440
0.020000,0.592020,0.884473,0.593096,1.820107,2.774078,-0.087769,0.032535
0.020000,0.629510,0.885734,0.630606,1.875539,2.771634,-0.122194,0.034708
0.020000,0.667544,0.887096,0.668665,1.902933,1.369698,-70.096816,0.036926
0.020000,0.705563,0.888543,0.706712,1.902324,-0.030448,-70.007297,0.039159
0.020000,0.743566,0.890075,0.744746,1.901710,-0.030730,-0.014104,0.041405
0.020000,0.781554,0.891692,0.782768,1.901090,-0.031016,-0.014298,0.043665
0.020000,0.819525,0.893394,0.820777,1.900463,-0.031306,-0.014492,0.045939
0.020000,0.857480,0.895182,0.858774,1.899870,-0.029652,0.082681,0.048228
0.020000,0.895420,0.897057,0.896760,1.899280,-0.029516,0.006804,0.050531
0.020000,0.933342,0.899019,0.934733,1.898640,-0.032027,-0.125543,0.052848
0.020000,0.971246,0.901068,0.972692,1.897993,-0.032333,-0.015314,0.055181
0.020000,1.009133,0.903206,1.010639,1.897340,-0.032643,-0.015501,0.057527
0.020000,1.047001,0.905431,1.048573,1.896681,-0.032957,-0.015687,0.059889
0.020000,1.084851,0.907746,1.086493,1.896015,-0.033274,-0.015870,0.062265
0.020000,1.122681,0.910150,1.124400,1.895343,-0.033595,-0.016050,0.064657
0.020000,1.160492,0.912644,1.162293,1.894665,-0.033920,-0.016229,0.067063
0.020000,1.198285,0.915228,1.200174,1.894040,-0.031229,0.134569,0.069485
0.020000,1.236058,0.917903,1.238042,1.893408,-0.031639,-0.020526,0.071923
0.020000,1.273811,0.920670,1.275897,1.892713,-0.034755,-0.155817,0.074376
0.020000,1.311543,0.923528,1.313737,1.892011,-0.035095,-0.016997,0.076844
0.020000,1.349254,0.926479,1.351563,1.891302,-0.035439,-0.017164,0.079329
0.020000,1.386943,0.929522,1.389375,1.890586,-0.035785,-0.017327,0.081829
0.020000,1.424610,0.932659,1.427172,1.889864,-0.036135,-0.017486,0.084345
0.020000,1.462257,0.935890,1.464957,1.889235,-0.031405,0.236493,0.086877
0.020000,1.499881,0.939215,1.502727,1.888541,-0.034741,-0.166773,0.089426
0.020000,1.537481,0.942635,1.540483,1.887800,-0.037055,-0.115707,0.091991
0.020000,1.575058,0.946150,1.578224,1.887051,-0.037418,-0.018180,0.094572
0.020000,1.612611,0.949761,1.615950,1.886295,-0.037785,-0.018322,0.097170
0.020000,1.650139,0.953469,1.653661,1.885538,-0.037884,-0.004956,0.099785
0.020000,1.687645,0.957274,1.691360,1.884923,-0.030738,0.357269,0.102417
0.020000,1.725125,0.961176,1.729042,1.884148,-0.038761,-0.401146,0.105066
0.020000,1.762580,0.965176,1.766710,1.883365,-0.039140,-0.018944,0.107732
0.020000,1.800008,0.969275,1.804361,1.882575,-0.039522,-0.019063,0.110415
0.020000,1.837408,0.973472,1.841997,1.881786,-0.039413,0.005448,0.113116
0.020000,1.874785,0.977770,1.879620,1.881148,-0.031898,0.375753,0.115834
0.020000,1.912134,0.982167,1.917227,1.880337,-0.040550,-0.432620,0.118570
0.020000,1.949454,0.986665,1.954817,1.879519,-0.040942,-0.019593,0.121323
0.020000,1.986746,0.991264,1.992391,1.878692,-0.041335,-0.019684,0.124095
0.020000,2.024010,0.995965,2.029950,1.877968,-0.036178,0.257850,0.126884
0.020000,2.061245,1.000768,2.067494,1.877208,-0.038015,-0.091820,0.129692
0.020000,2.098450,1.005674,2.105022,1.876360,-0.042409,-0.219695,0.132518
0.020000,2.135624,1.010683,2.142532,1.875504,-0.042811,-0.020100,0.135362
0.020000,2.172769,1.015796,2.180026,1.874738,-0.038275,0.226809,0.138226
0.020000,2.209883,1.021014,2.217506,1.873973,-0.038275,-0.000006,0.141107
0.020000,2.246965,1.026336,2.254968,1.873094,-0.043915,-0.282034,0.144008
0.020000,2.284014,1.031764,2.292412,1.872208,-0.044324,-0.020408,0.146927
0.020000,2.321032,1.037298,2.329841,1.871462,-0.037313,0.350519,0.149866
0.020000,2.358017,1.042938,2.367254,1.870628,-0.041697,-0.219196,0.152824
0.020000,2.394967,1.048686,2.404648,1.869719,-0.045453,-0.187808,0.155801
0.020000,2.431882,1.054541,2.442025,1.868832,-0.044322,0.056567,0.158798
