dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000848,-0.875000,0.000588,0.058824,2.941176,147.058824,6.282216
0.020000,-0.000771,-0.875000,0.000665,0.003853,-2.748519,-284.484777,6.282304
0.020000,-0.000643,-0.875000,0.000794,0.006423,0.128514,143.851645,6.282451
0.020000,-0.000463,-0.875000,0.000974,0.008996,0.128627,0.005669,6.282656
0.020000,-0.000232,-0.875000,0.001205,0.011572,0.128786,0.007942,6.282921
0.020000,0.001229,-0.875000,0.002665,0.073004,3.071615,147.141459,0.000059
0.020000,0.009212,-0.874998,0.010649,0.399193,16.309457,661.892066,0.000442
0.020000,0.018421,-0.874992,0.019858,0.460442,3.062425,-662.351595,0.000884
0.020000,0.028862,-0.874980,0.030298,0.522019,3.078853,0.821422,0.001385
0.020000,0.040528,-0.874961,0.041964,0.583299,3.064018,-0.741737,0.001947
0.020000,0.053427,-0.874931,0.054863,0.644952,3.082671,0.932648,0.002569
0.020000,0.067552,-0.874890,0.068989,0.706292,3.066963,-0.785415,0.003251
0.020000,0.082907,-0.874835,0.084344,0.767729,3.071876,0.245663,0.003994
0.020000,0.099495,-0.874762,0.100932,0.829399,3.083477,0.580031,0.004799
0.020000,0.117312,-0.874669,0.118749,0.890875,3.073797,-0.483971,0.005665
0.020000,0.136359,-0.874552,0.137797,0.952398,3.076154,0.117848,0.006594
0.020000,0.156638,-0.874408,0.158076,1.013958,3.078030,0.093765,0.007585
0.020000,0.178148,-0.874234,0.179587,1.075547,3.079421,0.069586,0.008640
0.020000,0.200890,-0.874024,0.202330,1.137153,3.080328,0.045322,0.009758
0.020000,0.224865,-0.873776,0.226306,1.198768,3.080748,0.020985,0.010941
0.020000,0.250071,-0.873485,0.251514,1.260426,3.082889,0.107087,0.012189
0.020000,0.276515,-0.873145,0.277960,1.322274,3.092389,0.474997,0.013503
0.020000,0.304190,-0.872752,0.305638,1.383918,3.082193,-0.509836,0.014883
0.020000,0.333099,-0.872301,0.334550,1.445602,3.084230,0.101857,0.016331
0.020000,0.363246,-0.871786,0.364702,1.507581,3.098941,0.735572,0.017846
0.020000,0.394625,-0.871201,0.396086,1.569230,3.082421,-0.825995,0.019431
0.020000,0.427244,-0.870540,0.428712,1.631293,3.103153,1.036595,0.021085
0.020000,0.461099,-0.869797,0.462575,1.693120,3.091379,-0.588728,0.022811
0.020000,0.496189,-0.868965,0.497674,1.754994,3.093690,0.115578,0.024608
0.020000,0.532520,-0.868037,0.534018,1.817172,3.108892,0.760076,0.026478
0.020000,0.570090,-0.867005,0.571602,1.879193,3.101071,-0.391011,0.028422
0.020000,0.608899,-0.865863,0.610427,1.941273,3.103991,0.145986,0.030440
0.020000,0.648947,-0.864601,0.650496,2.003423,3.107494,0.175119,0.032535
0.020000,0.690236,-0.863213,0.691808,2.065633,3.110480,0.149331,0.034708
0.020000,0.732151,-0.861711,0.733749,2.097052,1.570988,-76.974619,0.036926
0.020000,0.774073,-0.860115,0.775702,2.097650,0.029893,-77.054734,0.039159
0.020000,0.816004,-0.858425,0.817667,2.098252,0.030087,0.009697,0.041405
0.020000,0.857943,-0.856640,0.859645,2.098858,0.030280,0.009651,0.043665
0.020000,0.899891,-0.854760,0.901634,2.099467,0.030472,0.009606,0.045939
0.020000,0.941847,-0.852783,0.943636,2.100123,0.032817,0.117221,0.048228
0.020000,0.983811,-0.850709,0.985652,2.100793,0.033491,0.033704,0.050531
0.020000,1.025783,-0.848538,1.027681,2.101418,0.031239,-0.112596,0.052848
0.020000,1.067763,-0.846268,1.069722,2.102046,0.031426,0.009375,0.055181
0.020000,1.109750,-0.843899,1.111775,2.102679,0.031613,0.009329,0.057527
0.020000,1.151744,-0.841431,1.153841,2.103315,0.031798,0.009282,0.059889
0.020000,1.193744,-0.838863,1.195920,2.103954,0.031983,0.009236,0.062265
0.020000,1.235752,-0.836193,1.238012,2.104598,0.032167,0.009190,0.064657
0.020000,1.277765,-0.833422,1.280117,2.105245,0.032350,0.009144,0.067063
0.020000,1.319786,-0.830549,1.322237,2.105963,0.035890,0.177021,0.069485
0.020000,1.361815,-0.827573,1.364370,2.106682,0.035990,0.005001,0.071923
0.020000,1.403849,-0.824492,1.406517,2.107344,0.033079,-0.145545,0.074376
0.020000,1.445889,-0.821308,1.448677,2.108009,0.033257,0.008897,0.076844
0.020000,1.487934,-0.818018,1.490851,2.108678,0.033434,0.008851,0.079329
0.020000,1.529984,-0.814622,1.533038,2.109350,0.033611,0.008806,0.081829
0.020000,1.572039,-0.811120,1.575238,2.110026,0.033786,0.008760,0.084345
0.020000,1.614100,-0.807510,1.617455,2.110818,0.039641,0.292758,0.086877
0.020000,1.656167,-0.803793,1.659686,2.111548,0.036494,-0.157349,0.089426
0.020000,1.698239,-0.799966,1.701930,2.112238,0.034483,-0.100540,0.091991
0.020000,1.740313,-0.796030,1.744189,2.112931,0.034653,0.008504,0.094572
0.020000,1.782392,-0.791983,1.786462,2.113628,0.034822,0.008460,0.097170
0.020000,1.824474,-0.787826,1.828748,2.114333,0.035294,0.023563,0.099785
0.020000,1.866562,-0.783556,1.871053,2.115211,0.043900,0.430343,0.102417
0.020000,1.908653,-0.779174,1.913371,2.115921,0.035494,-0.420320,0.105066
0.020000,1.950746,-0.774678,1.955704,2.116634,0.035658,0.008196,0.107732
0.020000,1.992841,-0.770068,1.998051,2.117351,0.035821,0.008153,0.110415
0.020000,2.034939,-0.765344,2.040412,2.118082,0.036538,0.035837,0.113116
0.020000,2.077041,-0.760503,2.082792,2.118994,0.045604,0.453288,0.115834
0.020000,2.119145,-0.755546,2.125187,2.119723,0.036466,-0.456894,0.118570
0.020000,2.161249,-0.750471,2.167596,2.120455,0.036623,0.007885,0.121323
0.020000,2.203354,-0.745279,2.210020,2.121191,0.036780,0.007843,0.124095
0.020000,2.245462,-0.739967,2.252461,2.122055,0.043213,0.321628,0.126884
0.020000,2.287570,-0.734535,2.294918,2.122890,0.041755,-0.072911,0.129692
0.020000,2.329679,-0.728982,2.337391,2.123638,0.037396,-0.217909,0.132518
0.020000,2.371786,-0.723309,2.379879,2.124389,0.037548,0.007572,0.135362
0.020000,2.413894,-0.717512,2.422384,2.125255,0.043300,0.287613,0.138226
0.020000,2.456003,-0.711593,2.464907,2.126134,0.043922,0.031113,0.141107
0.020000,2.498109,-0.705549,2.507445,2.126897,0.038139,-0.289168,0.144008
0.020000,2.540213,-0.699381,2.549998,2.127662,0.038285,0.007296,0.146927
0.020000,2.582317,-0.693087,2.592570,2.128600,0.046872,0.429357,0.149866
0.020000,2.624419,-0.686666,2.635159,2.129450,0.042511,-0.218046,0.152824
0.020000,2.666517,-0.680117,2.677764,2.130227,0.038850,-0.183055,0.155801
0.020000,2.708612,-0.673441,2.720384,2.131042,0.040751,0.095041,0.158798
