dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.875000,0.000588,0.058824,2.941176,147.058824,0.000000
0.020000,0.000000,0.875000,0.000588,0.000000,-2.941176,-294.117647,0.000000
0.020000,0.000000,0.875000,0.000588,0.000000,0.000000,147.058824,0.000000
0.020000,0.000000,0.875000,0.000588,0.000000,0.000000,0.000000,0.000000
0.020000,0.002706,0.875000,0.003294,0.135294,6.764706,338.235294,0.000000
0.020000,0.009176,0.875000,0.009765,0.323529,9.411765,132.352941,0.000000
0.020000,0.016824,0.875000,0.017412,0.382353,2.941176,-323.529412,0.000000
0.020000,0.025647,0.875000,0.026235,0.441176,2.941176,0.000000,0.000000
0.020000,0.035647,0.875000,0.036235,0.500000,2.941176,-0.000000,0.000000
0.020000,0.046824,0.875000,0.047412,0.558824,2.941176,0.000000,0.000000
0.020000,0.059176,0.875000,0.059765,0.617647,2.941176,-0.000000,0.000000
0.020000,0.072706,0.875000,0.073294,0.676471,2.941176,0.000000,0.000000
0.020000,0.087412,0.875000,0.088000,0.735294,2.941176,-0.000000,0.000000
0.020000,0.103294,0.875000,0.103882,0.794118,2.941176,-0.000000,0.000000
0.020000,0.120353,0.875000,0.120941,0.852941,2.941176,0.000000,0.000000
0.020000,0.138588,0.875000,0.139176,0.911765,2.941176,0.000000,0.000000
0.020000,0.158000,0.875000,0.158588,0.970588,2.941176,-0.000000,0.000000
0.020000,0.178588,0.875000,0.179176,1.029412,2.941176,-0.000000,0.000000
0.020000,0.200353,0.875000,0.200941,1.088235,2.941176,0.000000,0.000000
0.020000,0.223294,0.875000,0.223882,1.147059,2.941176,-0.000000,0.000000
0.020000,0.247412,0.875000,0.248000,1.205882,2.941176,0.000000,0.000000
0.020000,0.272706,0.875000,0.273294,1.264706,2.941176,-0.000000,0.000000
0.020000,0.299176,0.875000,0.299765,1.323529,2.941176,0.000000,0.000000
0.020000,0.326824,0.875000,0.327412,1.382353,2.941176,-0.000000,0.000000
0.020000,0.355647,0.875000,0.356235,1.441176,2.941176,0.000000,0.000000
0.020000,0.385647,0.875000,0.386235,1.500000,2.941176,0.000000,0.000000
0.020000,0.416824,0.875000,0.417412,1.558824,2.941176,-0.000000,0.000000
0.020000,0.449176,0.875000,0.449765,1.617647,2.941176,-0.000000,0.000000
0.020000,0.482706,0.875000,0.483294,1.676471,2.941176,0.000000,0.000000
0.020000,0.517412,0.875000,0.518000,1.735294,2.941176,-0.000000,0.000000
0.020000,0.553294,0.875000,0.553882,1.794118,2.941176,0.000000,0.000000
0.020000,0.590353,0.875000,0.590941,1.852941,2.941176,-0.000000,0.000000
0.020000,0.628588,0.875000,0.629176,1.911765,2.941176,0.000000,0.000000
0.020000,0.668000,0.875000,0.668588,1.970588,2.941176,0.000000,0.000000
0.020000,0.708000,0.875000,0.708588,2.000000,1.470588,-73.529412,0.000000
0.020000,0.748000,0.875000,0.748588,2.000000,0.000000,-73.529412,0.000000
0.020000,0.788000,0.875000,0.788588,2.000000,0.000000,0.000000,0.000000
0.020000,0.828000,0.875000,0.828588,2.000000,0.000000,0.000000,0.000000
0.020000,0.868000,0.875000,0.868588,2.000000,-0.000000,-0.000000,0.000000
0.020000,0.908000,0.875000,0.908588,2.000000,0.000000,0.000000,0.000000
0.020000,0.948000,0.875000,0.948588,2.000000,0.000000,-0.000000,0.000000
0.020000,0.988000,0.875000,0.988588,2.000000,-0.000000,-0.000000,0.000000
0.020000,1.028000,0.875000,1.028588,2.000000,0.000000,0.000000,0.000000
0.020000,1.068000,0.875000,1.068588,2.000000,0.000000,0.000000,0.000000
0.020000,1.108000,0.875000,1.108588,2.000000,0.000000,0.000000,0.000000
0.020000,1.148000,0.875000,1.148588,2.000000,-0.000000,-0.000000,0.000000
0.020000,1.188000,0.875000,1.188588,2.000000,0.000000,0.000000,0.000000
0.020000,1.228000,0.875000,1.228588,2.000000,0.000000,-0.000000,0.000000
